step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
3600,0,0.000300,0.710125,-0.075843,1.571935,0.005274,-0.861861,1.537339,0.034596,0.344023,0.070310,0.084423,2.729012,0.992791,5.651773,334.939132,29.322321
3700,0,0.000300,0.720453,-0.074151,1.589209,0.005401,-0.846724,1.545232,0.043977,0.339648,0.072722,0.088192,2.738838,1.518238,5.658037,334.273791,28.745635
3800,0,0.000300,0.716948,-0.073883,1.581662,0.005444,-0.844532,1.547135,0.034527,0.339648,0.064617,0.087377,2.792531,1.879367,5.660865,333.812328,29.153731
3900,0,0.000300,0.710051,-0.075136,1.570374,0.005396,-0.856159,1.533311,0.037064,0.346484,0.070916,0.083427,2.768171,1.071994,5.666364,333.194273,31.057955
4000,1,0.000300,0.709758,-0.075542,1.570599,0.005329,-0.859369,1.534038,0.036561,0.347813,0.062275,0.084480,2.784640,1.323815,5.650618,333.827813,31.241604
4000,0.014175,0.022663,0.027970,0.005948,0.021572,-0.218579,0.066759,0.116699,0.842928,2.259730,0.041451,0.035423,46.354877
4100,1,0.000300,0.711792,-0.074518,1.572621,0.005379,-0.850385,1.536472,0.036150,0.339883,0.062825,0.087605,2.812055,1.344511,5.645994,333.805974,31.163407
4200,1,0.000300,0.704950,-0.076394,1.562689,0.005219,-0.866645,1.533508,0.029181,0.343281,0.068042,0.085215,2.832914,1.862434,5.650064,333.270580,31.604387
4300,1,0.000300,0.707882,-0.076874,1.569511,0.005190,-0.870648,1.538277,0.031234,0.339766,0.065867,0.085285,2.869377,1.736621,5.651988,332.862226,31.709718
4400,1,0.000300,0.717557,-0.074956,1.585027,0.005181,-0.852463,1.548772,0.036255,0.344023,0.066106,0.087649,2.893101,3.254555,5.651927,332.570928,31.759915
4500,1,0.000300,0.719328,-0.075477,1.589610,0.005240,-0.857853,1.549461,0.040149,0.341289,0.068711,0.086375,2.928195,2.455835,5.651353,332.309801,31.943015
4600,1,0.000300,0.725674,-0.074453,1.600255,0.005471,-0.850213,1.546603,0.053652,0.344609,0.065974,0.087341,2.941031,1.848883,5.653102,331.912154,31.871643
4700,1,0.000300,0.723371,-0.074812,1.596367,0.006457,-0.863774,1.548197,0.048169,0.337422,0.073599,0.088200,2.928856,2.132739,5.655814,331.458316,32.290596
4800,1,0.000300,0.726962,-0.070668,1.595259,0.010680,-0.866659,1.540247,0.055012,0.344258,0.073105,0.094160,2.987451,4.063506,5.656567,331.119578,31.836774
4900,1,0.000300,0.721616,-0.075536,1.594304,0.005600,-0.861952,1.540419,0.053886,0.340430,0.063174,0.088576,3.027214,4.700903,5.654398,330.951800,30.749979
5000,1,0.000300,0.726956,-0.074917,1.603747,0.005610,-0.856305,1.550842,0.052906,0.334492,0.064026,0.086959,3.056135,3.832615,5.655505,330.592333,30.919933
5100,1,0.000299,0.721432,-0.075418,1.593699,0.005501,-0.859864,1.547895,0.045804,0.341484,0.064543,0.085897,3.074003,3.391408,5.657487,330.181949,30.645276
5200,1,0.000299,0.725333,-0.075673,1.602011,0.005486,-0.862354,1.549567,0.052444,0.339297,0.067820,0.085674,3.090559,4.441019,5.659057,329.795837,30.619554
5300,1,0.000299,0.715917,-0.076227,1.584289,0.005446,-0.867015,1.541491,0.042797,0.342734,0.075701,0.084607,3.079809,4.518335,5.659709,329.463320,30.150395
5400,1,0.000299,0.722554,-0.075372,1.595852,0.005478,-0.859260,1.552673,0.043179,0.335898,0.071812,0.086054,3.078637,5.035327,5.660981,329.094884,29.751686
5500,1,0.000299,0.714831,-0.075956,1.581574,0.005323,-0.863385,1.539361,0.042213,0.343203,0.068616,0.083172,3.102096,3.006576,5.658913,328.920659,29.670783
5600,1,0.000299,0.726715,-0.074773,1.602976,0.005622,-0.854705,1.551787,0.051190,0.338633,0.059414,0.086699,3.120773,4.571315,5.659414,328.597029,28.819531
5700,1,0.000299,0.778135,-0.071007,1.698285,0.006597,-0.827663,1.608885,0.089400,0.318672,0.063369,0.087367,3.152274,23.483707,5.661162,328.201160,28.202895
5800,1,0.000299,0.742148,-0.073729,1.631754,0.006027,-0.848394,1.561716,0.070038,0.332734,0.060154,0.084636,3.194133,6.994915,5.658919,328.036734,28.382346
5900,1,0.000299,0.743333,-0.071561,1.629787,0.006222,-0.829816,1.551351,0.078437,0.334375,0.058398,0.087921,3.235089,7.603273,5.660060,327.676163,27.662049
6000,1,0.000299,0.747664,-0.072609,1.640546,0.006247,-0.839782,1.559694,0.080852,0.325547,0.058923,0.086703,3.258403,5.553454,5.656908,327.564103,27.061405
6000,0.009045,0.014042,0.018479,-0.036429,0.013789,-0.556833,0.065673,0.224609,0.213894,2.757411,0.023251,0.049829,31.742177
6100,1,0.000299,0.736907,-0.074459,1.622732,0.005959,-0.854532,1.555223,0.067509,0.330234,0.063931,0.083407,3.266822,5.157187,5.657935,327.210098,27.623487
6200,1,0.000299,0.726119,-0.073663,1.599566,0.005660,-0.844447,1.546410,0.053155,0.335898,0.060415,0.084157,3.294658,4.290634,5.659734,326.811613,26.963686
6300,1,0.000299,0.724788,-0.074326,1.598228,0.005430,-0.848715,1.544372,0.053855,0.340273,0.064514,0.082087,3.274269,6.169582,5.660787,326.456385,26.901611
6400,1,0.000299,0.722960,-0.075679,1.597278,0.005202,-0.859401,1.555166,0.042112,0.338125,0.056736,0.081670,3.294620,3.779812,5.662660,326.054082,26.598100
6500,1,0.000299,0.727021,-0.074856,1.603754,0.005467,-0.854363,1.556560,0.047194,0.340430,0.058647,0.082423,3.279048,5.942909,5.664561,325.650415,26.549417
6600,1,0.000299,0.721861,-0.076837,1.597396,0.005512,-0.873641,1.541887,0.055508,0.341328,0.056216,0.080922,3.274395,2.672635,5.661790,325.515410,26.395577
6700,1,0.000299,0.718354,-0.076078,1.588863,0.005144,-0.862687,1.546382,0.042482,0.337891,0.058198,0.081457,3.312673,5.511344,5.665489,325.008724,26.161869
6800,1,0.000299,0.718839,-0.075731,1.589138,0.005192,-0.860019,1.548140,0.040999,0.336016,0.064429,0.078770,3.288511,6.163917,5.665794,324.697042,26.056393
6900,1,0.000299,0.718740,-0.076742,1.590964,0.005168,-0.869524,1.547456,0.043508,0.340195,0.063098,0.079034,3.323978,5.201918,5.666476,324.363853,25.801530
7000,1,0.000299,0.718544,-0.075700,1.588489,0.005088,-0.858664,1.548962,0.039527,0.339023,0.063518,0.079025,3.344053,6.096992,5.667299,324.022647,25.545835
7100,1,0.000299,0.720575,-0.075535,1.592220,0.005265,-0.858818,1.546775,0.045445,0.339336,0.059590,0.079946,3.389498,4.720129,5.667970,323.690281,25.333417
7200,1,0.000298,0.717426,-0.075981,1.586814,0.005117,-0.861692,1.542673,0.044141,0.339180,0.061255,0.078221,3.375435,4.350948,5.669843,323.289395,25.111696
7300,1,0.000298,0.714432,-0.077373,1.583609,0.004960,-0.873532,1.546395,0.037214,0.341562,0.065762,0.077709,3.378707,3.156448,5.668141,323.092411,25.147897
7400,1,0.000298,0.745323,-0.074775,1.640196,0.005454,-0.853132,1.587211,0.052984,0.325039,0.068948,0.078913,3.375018,10.867534,5.670037,322.690422,24.852871
7500,1,0.000298,0.751400,-0.074084,1.650968,0.005579,-0.847791,1.596075,0.054893,0.329844,0.063511,0.079805,3.405222,9.847863,5.671117,322.335107,24.775107
7600,1,0.000298,0.753737,-0.074300,1.656073,0.005619,-0.850066,1.598904,0.057169,0.332617,0.062542,0.078771,3.425503,10.728852,5.671932,321.994940,24.809424
7700,1,0.000298,0.732596,-0.077110,1.619411,0.005166,-0.873025,1.575021,0.044389,0.333633,0.061277,0.078590,3.425269,30.358842,5.671557,321.722345,24.725037
7800,1,0.000298,0.726444,-0.076820,1.606527,0.005004,-0.868553,1.568524,0.038003,0.337930,0.063188,0.079794,3.426932,5.579165,5.669560,321.541707,24.826359
7900,2,0.000298,0.737575,-0.076305,1.627760,0.005033,-0.863870,1.587559,0.040201,0.328633,0.067393,0.078264,3.418354,5.478560,5.659936,321.793959,24.751782
8000,2,0.000298,0.797865,-0.070765,1.737261,0.006526,-0.824731,1.643966,0.093296,0.300859,0.064766,0.082207,3.424303,27.203455,5.660578,321.463037,24.280163
8000,0.006414,0.010439,0.011221,-0.056251,0.009350,-0.708496,0.062704,0.304199,0.224990,3.192427,0.055185,0.062506,24.559513
8100,2,0.000298,0.803144,-0.071178,1.748643,0.006703,-0.830226,1.640911,0.107732,0.308945,0.063711,0.079395,3.428578,86.278006,5.658307,321.297496,24.378138
8200,2,0.000298,0.773854,-0.073166,1.694040,0.006296,-0.845539,1.603910,0.090130,0.318984,0.063757,0.079011,3.459693,9.142645,5.658930,320.967614,24.587007
8300,2,0.000298,0.761094,-0.073443,1.669074,0.005834,-0.844176,1.599003,0.070071,0.323086,0.062827,0.077456,3.453243,9.120047,5.659852,320.620861,24.737103
8400,2,0.000298,0.790488,-0.071617,1.724208,0.006602,-0.833430,1.614716,0.109492,0.306445,0.067515,0.077844,3.477982,7.569199,5.659884,320.324584,24.765528
8500,2,0.000298,0.792123,-0.070029,1.724305,0.006725,-0.819230,1.612946,0.111359,0.310312,0.067468,0.077587,3.482080,9.409141,5.660369,320.002674,24.934432
8600,2,0.000298,0.821842,-0.068896,1.781476,0.007178,-0.812910,1.645075,0.136401,0.301211,0.065288,0.081348,3.531398,9.655086,5.661731,319.631357,24.647819
