step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
3800,0,0.000300,2.963125,-0.305078,1.459941,0.064429,-0.739292,1.440992,0.018949,0.350977,0.087378,0.140577,2.560032,18.385052,3.745704,504.489084
3900,0,0.000300,2.957344,-0.309463,1.465181,0.064253,-0.747290,1.444796,0.020385,0.343555,0.086104,0.136286,2.543850,15.703041,3.763767,501.625042
4000,1,0.000300,2.937969,-0.308340,1.474263,0.064478,-0.745762,1.452528,0.021734,0.343711,0.086328,0.138594,2.534228,13.076289,3.777606,499.346176
4000,0.004933,0.004844,0.005833,-0.373684,0.005227,-0.757821,0.066489,0.340820,0.031342,2.602699,0.086329,0.153015
4100,1,0.000300,3.045781,-0.306387,1.471361,0.064487,-0.741835,1.449654,0.021707,0.343008,0.077695,0.136993,2.562283,18.510653,3.792060,497.003414
4200,1,0.000300,2.936875,-0.307471,1.466554,0.064463,-0.744105,1.446074,0.020480,0.346328,0.079316,0.138484,2.453355,21.733698,3.807420,494.560678
4300,1,0.000300,2.989375,-0.311152,1.467437,0.064292,-0.750920,1.447319,0.020118,0.345664,0.085161,0.135245,2.550792,26.491360,3.822630,492.156844
4400,1,0.000300,2.975625,-0.318008,1.467996,0.064170,-0.764173,1.448318,0.019678,0.342070,0.084194,0.133387,2.576624,15.330187,3.836946,489.886181
4500,1,0.000300,2.927969,-0.309932,1.464619,0.064287,-0.748496,1.443898,0.020720,0.341992,0.087388,0.133969,2.487611,19.266504,3.851048,487.659448
4600,1,0.000300,3.081562,-0.304971,1.478441,0.064380,-0.738740,1.453315,0.025127,0.339297,0.089058,0.133542,2.537653,11.184360,3.864582,485.520416
4700,1,0.000300,3.011719,-0.305195,1.462542,0.064333,-0.739285,1.441866,0.020676,0.346250,0.086528,0.133851,2.527156,21.703749,3.877703,483.447758
4800,1,0.000300,2.902344,-0.309004,1.466946,0.064229,-0.746491,1.445682,0.021264,0.346719,0.092686,0.129400,2.467479,14.964969,3.889971,481.494613
4900,1,0.000300,2.887031,-0.307295,1.469204,0.064326,-0.743719,1.447122,0.022081,0.344648,0.094531,0.134318,2.559209,18.990084,3.902187,479.560137
5000,1,0.000300,2.901562,-0.306279,1.472669,0.064419,-0.741652,1.450065,0.022604,0.340195,0.094292,0.137794,2.481933,20.742881,3.914019,477.684651
5100,1,0.000299,2.877031,-0.302168,1.480376,0.064453,-0.733312,1.454162,0.026214,0.339844,0.103608,0.135618,2.479691,21.317016,3.923912,476.055548
5200,1,0.000299,2.843594,-0.307031,1.465795,0.064468,-0.742931,1.445366,0.020429,0.345977,0.099614,0.133957,2.529869,24.054054,3.935047,474.284882
5300,1,0.000299,2.874062,-0.309023,1.467953,0.064434,-0.746917,1.447684,0.020269,0.345547,0.094331,0.135744,2.537107,36.228600,3.945296,472.630414
5400,1,0.000299,2.837813,-0.311680,1.460076,0.064185,-0.751605,1.441207,0.018869,0.346172,0.094370,0.135594,2.504957,15.704684,3.955736,470.961663
5500,1,0.000299,2.872500,-0.305859,1.471815,0.064424,-0.740921,1.446087,0.025727,0.342305,0.095059,0.131610,2.523801,40.550526,3.965504,469.381251
5600,1,0.000299,2.821250,-0.308242,1.477308,0.064209,-0.745185,1.452465,0.024844,0.334414,0.092119,0.133406,2.562923,24.416753,3.975331,467.801690
5700,1,0.000299,2.822344,-0.311201,1.472118,0.064351,-0.751301,1.446621,0.025497,0.343086,0.096055,0.130449,2.538803,22.699578,3.984856,466.265249
5800,1,0.000299,2.781250,-0.307480,1.466684,0.064351,-0.743677,1.443583,0.023101,0.348203,0.102617,0.128411,2.530738,23.694848,3.994068,464.772646
5900,1,0.000299,2.821406,-0.305332,1.466843,0.064399,-0.739558,1.446592,0.020252,0.349687,0.096587,0.135565,2.533769,28.932750,4.002700,463.353924
6000,1,0.000299,2.815156,-0.310068,1.466055,0.064214,-0.748896,1.443597,0.022458,0.345508,0.100063,0.130147,2.588386,37.645772,4.011403,461.933181
6000,0.002929,0.004073,0.004883,-0.390062,0.003945,-0.788013,0.067669,0.334473,0.024883,2.568978,0.115522,0.117720
6100,1,0.000299,2.770781,-0.313105,1.466906,0.064248,-0.754747,1.443486,0.023421,0.349180,0.097100,0.127889,2.598987,37.339053,4.018345,460.720375
6200,1,0.000299,2.791406,-0.308906,1.470467,0.064336,-0.746230,1.445405,0.025062,0.346016,0.092305,0.132721,2.592771,55.519229,4.026578,459.364458
6300,1,0.000299,2.821563,-0.306602,1.476021,0.064307,-0.741856,1.451161,0.024861,0.346914,0.089248,0.134225,2.621316,35.308700,4.034267,458.075759
