step,loss,real_crps,synth_ed,steps/s,real_frac
5300,-0.631058,0.045432,0.003590,4.095805,0.261719
5350,-0.623832,0.046132,0.003497,4.096554,0.261719
5400,-0.621489,0.045875,0.003539,4.097569,0.261719
5450,-0.610618,0.046927,0.003501,4.098476,0.261719
5500,-0.618428,0.046654,0.003557,4.099571,0.265625
5500,0.037717,-1.275562
5550,-0.629044,0.046404,0.003577,4.100283,0.265625
5600,-0.608141,0.047536,0.003563,4.101366,0.265625
5650,-0.626629,0.046446,0.003563,4.102401,0.265625
5700,-0.621583,0.047292,0.003534,4.103469,0.265625
5750,-0.621552,0.046613,0.003578,4.104331,0.265625
5800,-0.626531,0.046694,0.003586,4.105299,0.269531
5850,-0.641507,0.045728,0.003564,4.106437,0.269531
5900,-0.646694,0.044864,0.003525,4.107649,0.269531
5950,-0.636042,0.046470,0.003577,4.108647,0.269531
6000,-0.634446,0.046270,0.003543,4.109658,0.269531
6000,0.037717,-1.275562
6050,-0.633680,0.046687,0.003562,4.109647,0.269531
6100,-0.628519,0.047222,0.003586,4.110594,0.269531
6150,-0.620317,0.048137,0.003516,4.111737,0.273438
6200,-0.644805,0.045815,0.003543,4.112643,0.273438
6250,-0.626302,0.047015,0.003538,4.113498,0.273438
6300,-0.649162,0.045966,0.003527,4.114478,0.273438
6350,-0.654871,0.045483,0.003575,4.115508,0.273438
6400,-0.640315,0.046815,0.003516,4.116445,0.273438
6450,-0.652109,0.045857,0.003624,4.117395,0.277344
6500,-0.658348,0.046410,0.003593,4.118476,0.277344
6500,0.037717,-1.275562
6550,-0.662417,0.045477,0.003585,4.119281,0.277344
6600,-0.659244,0.045630,0.003588,4.120062,0.277344
6650,-0.652627,0.045868,0.003527,4.121166,0.277344
6700,-0.657695,0.045608,0.003725,4.122215,0.277344
6750,-0.659197,0.045651,0.003597,4.123209,0.277344
6800,-0.666989,0.045356,0.003526,4.124351,0.281250
6850,-0.652862,0.047003,0.003544,4.125628,0.281250
6900,-0.671714,0.045435,0.003559,4.126851,0.281250
6950,-0.648812,0.046875,0.003583,4.128059,0.281250
7000,-0.661926,0.046094,0.003571,4.129186,0.281250
7000,0.037717,-1.275562
7050,-0.647481,0.046951,0.003577,4.130028,0.281250
7100,-0.658359,0.046575,0.003550,4.131136,0.285156
7150,-0.668067,0.046189,0.003536,4.132270,0.285156
7200,-0.667634,0.046362,0.003575,4.133407,0.285156
7250,-0.665141,0.046328,0.003573,4.134448,0.285156
7300,-0.676647,0.045509,0.003567,4.135606,0.285156
7350,-0.682834,0.045038,0.003513,4.136801,0.285156
7400,-0.665638,0.046257,0.003550,4.137962,0.285156
7450,-0.655995,0.047292,0.003593,4.139136,0.289062
7500,-0.678145,0.046172,0.003586,4.140250,0.289062
7500,0.037717,-1.275562
7550,-0.667174,0.046891,0.003600,4.141238,0.289062
7600,-0.677589,0.046261,0.003506,4.142474,0.289062
7650,-0.671590,0.047263,0.003558,4.143614,0.289062
7700,-0.665930,0.047097,0.003555,4.144789,0.289062
7750,-0.684497,0.045410,0.003600,4.145592,0.292969
7800,-0.682667,0.046454,0.003557,4.146674,0.292969
7850,-0.675574,0.047311,0.003503,4.147897,0.292969
7900,-0.677187,0.046350,0.003497,4.149033,0.292969
7950,-0.687539,0.045758,0.003514,4.149854,0.292969
8000,-0.681509,0.046525,0.003525,4.151011,0.292969
8000,0.037717,-1.275562
8050,-0.699785,0.045025,0.003590,4.151242,0.292969
8100,-0.693482,0.045746,0.003596,4.152440,0.296875
8150,-0.683303,0.046872,0.003606,4.153631,0.296875
8200,-0.675808,0.047737,0.003526,4.154825,0.296875
8250,-0.692359,0.046720,0.003595,4.155935,0.296875
8300,-0.690996,0.046164,0.003529,4.157143,0.296875
