step,loss,real_crps,synth_ed,steps/s
6350,-0.197934,0.046763,0.004503,4.484467
6400,-0.198092,0.047030,0.004494,4.484710
6450,-0.198642,0.046594,0.004607,4.484774
6500,-0.203023,0.045573,0.004489,4.484960
6500,0.037590,-1.299469
6550,-0.198342,0.047010,0.004448,4.484885
6600,-0.198693,0.046363,0.004509,4.484977
6650,-0.200102,0.046199,0.004462,4.484774
6700,-0.200345,0.046321,0.004490,4.485054
6750,-0.202455,0.045536,0.004497,4.485190
6800,-0.201625,0.045698,0.004546,4.485260
6850,-0.198946,0.046476,0.004486,4.485424
6900,-0.197521,0.047140,0.004401,4.485680
6950,-0.197496,0.046979,0.004431,4.485852
7000,-0.197480,0.046766,0.004469,4.486045
7000,0.037565,-1.299469
7050,-0.204821,0.044673,0.004451,4.484896
7100,-0.199546,0.045970,0.004488,4.485101
7150,-0.201366,0.045746,0.004469,4.485405
7200,-0.198171,0.047309,0.004455,4.485612
7250,-0.202615,0.045224,0.004519,4.485884
7300,-0.195435,0.047478,0.004505,4.486056
7350,-0.199850,0.046043,0.004448,4.486105
7400,-0.203282,0.045538,0.004545,4.486180
7450,-0.197414,0.046792,0.004476,4.486401
7500,-0.201901,0.045850,0.004481,4.486505
7500,0.037581,-1.299469
7550,-0.198149,0.046584,0.004457,4.486373
7600,-0.199144,0.046291,0.004472,4.486589
7650,-0.201889,0.045451,0.004416,4.486761
7700,-0.204089,0.045267,0.004514,4.487002
7750,-0.197361,0.046975,0.004485,4.487159
7800,-0.198611,0.046509,0.004538,4.487184
7850,-0.199292,0.046478,0.004508,4.487462
7900,-0.198193,0.046845,0.004432,4.487725
7950,-0.202962,0.045459,0.004492,4.487877
8000,-0.200591,0.045698,0.004526,4.488177
8000,0.037578,-1.299469
8050,-0.197044,0.046778,0.004444,4.487354
8100,-0.195687,0.047779,0.004458,4.487189
8150,-0.202379,0.045383,0.004477,4.487420
8200,-0.198555,0.046474,0.004473,4.487649
8250,-0.197866,0.046440,0.004544,4.487720
8300,-0.198389,0.046219,0.004489,4.487801
8350,-0.198511,0.046675,0.004513,4.487772
8400,-0.201439,0.045817,0.004576,4.487800
8450,-0.200211,0.045798,0.004465,4.487811
8500,-0.196823,0.046962,0.004533,4.487811
8500,0.037567,-1.299469
8550,-0.203137,0.045604,0.004490,4.487745
8600,-0.197481,0.047067,0.004472,4.487915
8650,-0.196155,0.047693,0.004398,4.488173
8700,-0.202454,0.045212,0.004515,4.488214
8750,-0.199798,0.045743,0.004441,4.488397
8800,-0.198684,0.046710,0.004540,4.488470
8850,-0.195854,0.046857,0.004435,4.488582
8900,-0.200569,0.046238,0.004449,4.488781
8950,-0.203758,0.045383,0.004455,4.488944
9000,-0.201378,0.046249,0.004475,4.489085
9000,0.037568,-1.299469
9050,-0.194970,0.047640,0.004464,4.489063
9100,-0.199600,0.046616,0.004466,4.489184
9150,-0.201303,0.045772,0.004556,4.489299
9200,-0.199115,0.046500,0.004484,4.489362
9250,-0.199695,0.046285,0.004481,4.489290
9300,-0.200760,0.046378,0.004464,4.489317
9350,-0.194053,0.048205,0.004608,4.489417
9400,-0.199634,0.046017,0.004474,4.489480
9450,-0.202708,0.045847,0.004506,4.489663
9500,-0.197420,0.047545,0.004481,4.489770
9500,0.037563,-1.299469
9550,-0.198128,0.046892,0.004528,4.488824
9600,-0.200754,0.045948,0.004480,4.489001
9650,-0.198628,0.045898,0.004459,4.488980
9700,-0.198636,0.046461,0.004485,4.489081
9750,-0.198822,0.046488,0.004478,4.489151
9800,-0.200513,0.045898,0.004379,4.489316
9850,-0.195430,0.047555,0.004453,4.489484
9900,-0.197045,0.046883,0.004444,4.489781
9950,-0.205462,0.045029,0.004512,4.489964
10000,-0.200336,0.045942,0.004546,4.490178
10000,0.037585,-1.299469
10050,-0.199463,0.046010,0.004394,4.489575
10100,-0.202529,0.045744,0.004628,4.489970
10150,-0.198418,0.046817,0.004479,4.490156
10200,-0.198481,0.047022,0.004488,4.490440
10250,-0.201176,0.046488,0.004515,4.490773
10300,-0.196974,0.046861,0.004509,4.491097
10350,-0.198239,0.046823,0.004516,4.491418
10400,-0.200952,0.046135,0.004570,4.491644
10450,-0.204486,0.044544,0.004494,4.491886
10500,-0.198597,0.046430,0.004503,4.492347
10500,0.037586,-1.299469
10550,-0.199001,0.046860,0.004461,4.492326
10600,-0.198942,0.046326,0.004438,4.492700
10650,-0.199624,0.046161,0.004391,4.492941
10700,-0.195497,0.047756,0.004419,4.493218
10750,-0.199087,0.046436,0.004502,4.493395
10800,-0.201440,0.045869,0.004500,4.493531
10850,-0.194802,0.047875,0.004567,4.493549
10900,-0.199756,0.046145,0.004482,4.493741
10950,-0.200384,0.045984,0.004463,4.493761
11000,-0.203485,0.045068,0.004465,4.493551
11000,0.037591,-1.299469
11050,-0.198507,0.046370,0.004471,4.493493
11100,-0.193686,0.048319,0.004493,4.493675
11150,-0.201258,0.045993,0.004455,4.493709
11200,-0.199115,0.046188,0.004450,4.493883
11250,-0.207764,0.043620,0.004586,4.494100
11300,-0.195765,0.046849,0.004498,4.494250
11350,-0.198765,0.046554,0.004502,4.494429
11400,-0.199048,0.046662,0.004489,4.494489
11450,-0.200455,0.045805,0.004475,4.494715
11500,-0.199118,0.046514,0.004520,4.494979
11500,0.037560,-1.299469
11550,-0.198117,0.046569,0.004445,4.494603
11600,-0.198020,0.046597,0.004350,4.494851
11650,-0.200073,0.045872,0.004493,4.495108
11700,-0.199556,0.046050,0.004447,4.495425
11750,-0.198152,0.046707,0.004423,4.495765
11800,-0.199946,0.046319,0.004466,4.496048
11850,-0.203053,0.045392,0.004459,4.496308
11900,-0.201881,0.046087,0.004466,4.496642
11950,-0.199557,0.046389,0.004515,4.496920
12000,-0.198050,0.046819,0.004488,4.497171
12000,0.037582,-1.299469
12050,-0.198394,0.046572,0.004479,4.496855
12100,-0.203051,0.045517,0.004407,4.497030
12150,-0.198592,0.047108,0.004508,4.497209
12200,-0.196676,0.046572,0.004522,4.497431
12250,-0.199774,0.045967,0.004457,4.497742
12300,-0.198139,0.046797,0.004417,4.498039
12350,-0.199136,0.046550,0.004533,4.498299
12400,-0.202030,0.045459,0.004397,4.498347
12450,-0.203615,0.045483,0.004451,4.498495
12500,-0.197913,0.046735,0.004499,4.498851
12500,0.037577,-1.299469
12550,-0.197526,0.047065,0.004430,4.498932
12600,-0.198305,0.046885,0.004550,4.499197
12650,-0.197631,0.046719,0.004477,4.499415
12700,-0.200568,0.045874,0.004503,4.499676
12750,-0.196231,0.047019,0.004530,4.499850
12800,-0.201361,0.046277,0.004478,4.500098
12850,-0.197395,0.047401,0.004446,4.500430
12900,-0.201881,0.045599,0.004502,4.500630
12950,-0.201426,0.045813,0.004470,4.500943
13000,-0.198519,0.046870,0.004458,4.501209
13000,0.037583,-1.299469
13050,-0.199253,0.046691,0.004535,4.501188
13100,-0.200958,0.045733,0.004439,4.501480
13150,-0.196807,0.047176,0.004494,4.501778
13200,-0.198813,0.046539,0.004469,4.501993
13250,-0.200122,0.046140,0.004525,4.502218
13300,-0.200592,0.046291,0.004520,4.502457
13350,-0.205447,0.045350,0.004466,4.502730
13400,-0.201605,0.045910,0.004462,4.502955
13450,-0.198963,0.046850,0.004521,4.503180
13500,-0.200910,0.045377,0.004558,4.503428
13500,0.037572,-1.299469
13550,-0.199175,0.046685,0.004419,4.503455
13600,-0.194923,0.047553,0.004490,4.503782
13650,-0.198119,0.046568,0.004449,4.504080
13700,-0.197318,0.046596,0.004509,4.504317
13750,-0.203573,0.044632,0.004442,4.504572
13800,-0.200892,0.045724,0.004447,4.504888
13850,-0.202149,0.045044,0.004423,4.504969
13900,-0.201464,0.045704,0.004452,4.505208
13950,-0.200635,0.046563,0.004528,4.505513
14000,-0.198900,0.046061,0.004409,4.505785
14000,0.037579,-1.299469
14050,-0.200983,0.045840,0.004535,4.505395
14100,-0.201379,0.045623,0.004508,4.505728
14150,-0.200812,0.045746,0.004482,4.505929
14200,-0.199736,0.046749,0.004513,4.506170
14250,-0.198238,0.046927,0.004475,4.506380
14300,-0.199345,0.046513,0.004451,4.506665
14350,-0.198669,0.046923,0.004388,4.506966
14400,-0.200181,0.045979,0.004534,4.507194
14450,-0.199139,0.046825,0.004489,4.507384
14500,-0.196167,0.047291,0.004540,4.507563
14500,0.037566,-1.299469
14550,-0.206175,0.044304,0.004515,4.507685
14600,-0.201980,0.045851,0.004444,4.507890
14650,-0.196150,0.046722,0.004415,4.508153
14700,-0.206279,0.044692,0.004497,4.508393
14750,-0.199430,0.046448,0.004387,4.508664
14800,-0.200106,0.045724,0.004403,4.508904
14850,-0.199974,0.045952,0.004435,4.509161
14900,-0.200696,0.046220,0.004555,4.509379
14950,-0.197874,0.046846,0.004447,4.509582
15000,-0.201864,0.045823,0.004457,4.509820
15000,0.037586,-1.299469
15050,-0.196952,0.047279,0.004470,4.509902
15100,-0.200488,0.045486,0.004475,4.510147
15150,-0.199564,0.046165,0.004376,4.510372
15200,-0.200484,0.046345,0.004563,4.510627
15250,-0.196744,0.046942,0.004491,4.510897
15300,-0.197523,0.046846,0.004490,4.511055
