step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
3200,0,0.000299,-7.168723,-1.526601,0.305520,0.033976,-1.546184,0.179592,0.125928,0.942266,0.002511,0.043662,1.000000,60.194663,19.254187,32.287349,3.137569,0.008651,0.004403
3300,0,0.000299,-5.824690,-1.524081,0.322980,0.034271,-1.543992,0.183021,0.139959,0.940195,0.002444,0.043100,1.000000,136.286971,19.273849,32.167939,3.098065,0.009249,0.005491
3400,0,0.000299,-6.662609,-1.529028,0.300896,0.033743,-1.548673,0.182135,0.118761,0.941445,0.002089,0.043928,1.000000,331.048388,19.292064,32.051176,3.094901,0.009243,0.003534
3500,0,0.000299,-6.548610,-1.528239,0.313638,0.034162,-1.548341,0.183604,0.130034,0.940898,0.002227,0.043277,1.000000,236.451422,19.309416,31.936061,3.148267,0.010069,0.003816
3600,0,0.000299,-7.248416,-1.528023,0.366983,0.034096,-1.548152,0.192252,0.174731,0.936562,0.002674,0.043946,1.000000,179.115432,19.325742,31.822840,3.224887,0.010271,0.003896
3700,0,0.000299,-7.326498,-1.530897,0.297342,0.034304,-1.551399,0.190839,0.106504,0.938867,0.002966,0.043521,1.000000,56.626430,19.340599,31.712220,3.162296,0.011165,0.005469
3800,0,0.000298,-6.312309,-1.529165,0.269325,0.034095,-1.549458,0.177985,0.091340,0.941719,0.002215,0.043299,1.000000,79.818849,19.356035,31.600824,3.121269,0.010818,0.004108
3900,0,0.000298,-7.105518,-1.524935,0.297676,0.034510,-1.545507,0.186925,0.110751,0.939063,0.002324,0.042940,1.000000,40.483020,19.370591,31.491037,3.028094,0.011054,0.004715
4000,0,0.000298,-7.615022,-1.533609,0.233083,0.033791,-1.553168,0.168146,0.064937,0.942852,0.002884,0.043842,1.000000,30.022305,19.384282,31.382816,3.217514,0.008877,0.005542
4100,1,0.000298,-7.478860,-1.536760,0.257567,0.033565,-1.556182,0.167469,0.090099,0.943867,0.002802,0.042986,1.000000,39.406289,19.310213,31.416882,3.059480,0.008796,0.005149
4200,1,0.000298,-7.475013,-1.534775,0.318790,0.033708,-1.554302,0.163250,0.155539,0.946211,0.003056,0.043213,1.000000,167.669778,19.323906,31.308370,3.168829,0.008909,0.005316
4300,1,0.000297,-7.372366,-1.541132,0.333392,0.033800,-1.561094,0.163811,0.169581,0.945703,0.002458,0.043295,1.000000,113.035255,19.337055,31.200891,3.155576,0.010208,0.005107
4400,1,0.000297,-6.381613,-1.529558,0.311255,0.034123,-1.549489,0.166157,0.145098,0.946289,0.002635,0.043433,1.000000,47.179633,19.349622,31.094492,3.221456,0.009562,0.004366
4500,1,0.000297,-7.283860,-1.527909,0.285088,0.034080,-1.547805,0.180267,0.104821,0.938164,0.003252,0.043150,1.000000,267.245099,19.362022,30.988498,3.204667,0.009520,0.005835
4600,1,0.000297,-7.736829,-1.532434,0.344299,0.034228,-1.552490,0.180580,0.163719,0.939883,0.003017,0.044824,1.000000,400.162185,19.373866,30.883529,3.208253,0.009806,0.005405
4700,1,0.000296,-7.741041,-1.543507,0.324756,0.033415,-1.563127,0.188088,0.136668,0.938672,0.003024,0.042335,1.000000,182.725413,19.384922,30.779937,3.187413,0.009707,0.006533
4800,1,0.000296,-7.819134,-1.539780,0.324443,0.034270,-1.560531,0.177161,0.147282,0.940469,0.002162,0.043269,1.000000,55.810442,19.395594,30.677070,3.197350,0.012053,0.003195
4900,1,0.000296,-5.210599,-1.528740,0.324240,0.034457,-1.549660,0.183244,0.140996,0.940234,0.002190,0.043407,1.000000,85.250391,19.405897,30.574899,3.110152,0.012305,0.004633
