step,epoch,lr,loss,ed,nll,sde_acc,vol_mse,steps/s,eta_min
48700,11,0.000090,0.589647,0.003555,-0.776702,0.419766,0.001867,182.962080,16.912430
48800,11,0.000090,0.587399,0.003602,-0.773117,0.425469,0.002059,180.706478,17.114310
48900,11,0.000090,0.587775,0.003585,-0.783595,0.419258,0.001865,178.526866,17.313921
49000,11,0.000090,0.591474,0.003596,-0.771913,0.419883,0.001805,176.407267,17.512506
49100,11,0.000090,0.589088,0.003546,-0.778315,0.419922,0.002459,174.350595,17.709528
49200,11,0.000090,0.586011,0.003532,-0.796283,0.424648,0.002227,172.340777,17.906383
49300,11,0.000090,0.589672,0.003529,-0.784564,0.419961,0.001732,170.391070,18.101496
49400,11,0.000090,0.586781,0.003584,-0.795243,0.426328,0.001832,168.486303,18.296245
49500,11,0.000089,0.589198,0.003575,-0.774256,0.424414,0.001936,166.626223,18.490487
49600,11,0.000089,0.589071,0.003547,-0.783013,0.422187,0.001819,164.817368,18.683306
49700,11,0.000089,0.586097,0.003558,-0.788959,0.424336,0.001922,163.059223,18.874533
49800,11,0.000089,0.590911,0.003602,-0.779418,0.420000,0.002021,161.346221,19.064593
49900,12,0.000089,0.588652,0.003575,-0.794559,0.420117,0.001829,159.288754,19.300379
50000,12,0.000089,0.589720,0.003618,-0.786057,0.419844,0.001956,157.663981,19.488704
50000,-0.081433,0.003044,-0.844763,0.426270,0.003694
50100,12,0.000089,0.591839,0.003554,-0.773502,0.416758,0.001935,155.726292,19.720498
50200,12,0.000089,0.586763,0.003548,-0.783905,0.424609,0.001854,154.138375,19.912843
50300,12,0.000089,0.591784,0.003580,-0.785005,0.419375,0.001836,152.637724,20.097697
50400,12,0.000089,0.584930,0.003578,-0.786767,0.423320,0.002067,151.169109,20.281922
50500,12,0.000089,0.591419,0.003553,-0.787615,0.417266,0.001807,149.738125,20.464617
50600,12,0.000089,0.586911,0.003550,-0.779400,0.423984,0.002165,148.338110,20.646526
50700,12,0.000089,0.591068,0.003512,-0.781430,0.413789,0.001951,146.965864,20.827966
50800,12,0.000089,0.590806,0.003596,-0.793072,0.419063,0.001791,145.628934,21.007730
50900,12,0.000089,0.589800,0.003586,-0.776511,0.418047,0.002191,144.318771,21.186895
51000,12,0.000089,0.588177,0.003571,-0.775829,0.422422,0.001897,143.029393,21.366238
51100,12,0.000089,0.587774,0.003596,-0.776158,0.420703,0.001823,141.774631,21.543582
51200,12,0.000089,0.592115,0.003581,-0.775427,0.418828,0.001828,140.547217,21.719866
51300,12,0.000089,0.588882,0.003581,-0.779989,0.421250,0.001727,139.344031,21.895448
51400,12,0.000089,0.589821,0.003593,-0.782763,0.424687,0.001938,138.165959,22.070077
51500,12,0.000089,0.589907,0.003532,-0.782960,0.421680,0.001827,137.010321,22.244066
51600,12,0.000089,0.592568,0.003531,-0.784199,0.412930,0.002108,135.882818,22.416374
51700,12,0.000089,0.588762,0.003534,-0.786701,0.421094,0.001787,134.767833,22.589466
51800,12,0.000089,0.589485,0.003555,-0.785774,0.419375,0.001773,133.662823,22.763747
51900,12,0.000088,0.589103,0.003594,-0.780186,0.418867,0.001977,132.566264,22.939471
52000,12,0.000088,0.592350,0.003563,-0.789868,0.417969,0.001831,131.504927,23.111935
52000,-0.082452,0.003009,-0.854608,0.436035,0.004639
52100,12,0.000088,0.586351,0.003601,-0.785237,0.428047,0.001712,130.297219,23.313365
52200,12,0.000088,0.588599,0.003521,-0.786681,0.422070,0.001793,129.283538,23.483268
52300,12,0.000088,0.589096,0.003538,-0.780555,0.421406,0.001823,128.283156,23.653404
52400,12,0.000088,0.592332,0.003588,-0.786972,0.417852,0.001778,127.298551,23.823261
52500,12,0.000088,0.591627,0.003588,-0.786964,0.417578,0.001784,126.335764,23.991623
52600,12,0.000088,0.588385,0.003510,-0.789930,0.420508,0.001658,125.397365,24.157871
52700,12,0.000088,0.587202,0.003531,-0.781912,0.423750,0.001863,124.470707,24.324331
52800,12,0.000088,0.587185,0.003557,-0.780424,0.422656,0.001813,123.551588,24.491794
52900,12,0.000088,0.588679,0.003582,-0.787878,0.425586,0.001824,122.643280,24.659593
53000,12,0.000088,0.589655,0.003548,-0.776280,0.422070,0.001898,121.742284,24.828404
53100,12,0.000088,0.587499,0.003556,-0.788062,0.419648,0.001793,120.845443,24.998874
53200,12,0.000088,0.591648,0.003528,-0.787150,0.415898,0.001935,119.989742,25.163262
53300,12,0.000088,0.586200,0.003592,-0.786714,0.427734,0.002047,119.139764,25.328795
53400,12,0.000088,0.590534,0.003557,-0.776865,0.420273,0.001857,118.293251,25.495960
53500,12,0.000088,0.589718,0.003566,-0.790505,0.421641,0.001770,117.481890,25.657855
53600,12,0.000088,0.584873,0.003595,-0.778154,0.424922,0.001687,116.664816,25.823267
53700,12,0.000088,0.591784,0.003552,-0.784566,0.418945,0.001862,115.859711,25.988327
53800,13,0.000088,0.591326,0.003552,-0.780943,0.412305,0.001612,114.890069,26.193155
53900,13,0.000088,0.586809,0.003573,-0.788151,0.424141,0.001763,114.122851,26.354640
54000,13,0.000088,0.590241,0.003559,-0.782258,0.419219,0.001654,113.356407,26.518131
54000,-0.075413,0.003037,-0.784498,0.432129,0.004756
54100,13,0.000088,0.587938,0.003580,-0.780720,0.424141,0.001983,112.557973,26.691431
54200,13,0.000088,0.587869,0.003579,-0.789254,0.421680,0.002044,111.818243,26.853102
54300,13,0.000087,0.587009,0.003561,-0.773923,0.424805,0.001670,111.100029,27.011694
54400,13,0.000087,0.588669,0.003571,-0.788946,0.418086,0.001745,110.376612,27.173631
54500,13,0.000087,0.584481,0.003562,-0.781548,0.428398,0.001801,109.669726,27.333584
54600,13,0.000087,0.591217,0.003524,-0.780133,0.416641,0.001639,108.975862,27.492327
54700,13,0.000087,0.589492,0.003519,-0.782669,0.423633,0.001802,108.284222,27.652536
54800,13,0.000087,0.588040,0.003564,-0.783340,0.424414,0.001776,107.607430,27.810967
54900,13,0.000087,0.588229,0.003541,-0.783670,0.424375,0.001731,106.942693,27.968250
55000,13,0.000087,0.590085,0.003564,-0.774513,0.423320,0.001734,106.302692,28.120956
55100,13,0.000087,0.588860,0.003585,-0.781165,0.420586,0.002056,105.595528,28.293496
55200,13,0.000087,0.587292,0.003538,-0.780623,0.424648,0.001663,104.964885,28.447609
55300,13,0.000087,0.587398,0.003595,-0.791426,0.421445,0.001972,104.352491,28.598583
55400,13,0.000087,0.586309,0.003538,-0.785024,0.424453,0.001699,103.760934,28.745565
55500,13,0.000087,0.589810,0.003525,-0.792307,0.417539,0.002101,103.167132,28.894861
55600,13,0.000087,0.587818,0.003567,-0.785557,0.424063,0.001668,102.584624,29.042689
55700,13,0.000087,0.588926,0.003569,-0.789342,0.420078,0.001936,102.006888,29.190839
55800,13,0.000087,0.586698,0.003604,-0.791337,0.423594,0.001676,101.439420,29.337707
55900,13,0.000087,0.590086,0.003568,-0.775492,0.419375,0.001662,100.902726,29.477235
56000,13,0.000087,0.588206,0.003510,-0.789966,0.422539,0.001859,100.376090,29.615287
56000,-0.073665,0.002986,-0.766503,0.425781,0.004989
56100,13,0.000087,0.588024,0.003545,-0.775649,0.419258,0.001628,99.815269,29.764985
56200,13,0.000087,0.585772,0.003579,-0.783867,0.427148,0.001672,99.296734,29.903635
56300,13,0.000087,0.591172,0.003581,-0.773643,0.419844,0.001622,98.793585,30.039063
56400,13,0.000087,0.589641,0.003527,-0.784116,0.420625,0.001617,98.293991,30.174785
56500,13,0.000086,0.586114,0.003500,-0.795445,0.423516,0.001825,97.801836,30.309588
56600,13,0.000086,0.584049,0.003567,-0.788686,0.428125,0.001650,97.318365,30.443038
56700,13,0.000086,0.588635,0.003558,-0.782175,0.421250,0.001697,96.832034,30.578724
56800,13,0.000086,0.589000,0.003531,-0.780374,0.424141,0.001610,96.360930,30.710926
56900,13,0.000086,0.588524,0.003555,-0.775633,0.421641,0.001597,95.894469,30.842933
57000,13,0.000086,0.585273,0.003536,-0.794047,0.422695,0.001600,95.430325,30.975479
57100,13,0.000086,0.589425,0.003500,-0.789246,0.421172,0.001869,94.975867,31.106148
57200,13,0.000086,0.584639,0.003536,-0.790998,0.424180,0.001884,94.528345,31.235781
57300,13,0.000086,0.590634,0.003555,-0.778609,0.417617,0.001833,94.088781,31.363994
57400,13,0.000086,0.588820,0.003566,-0.786838,0.422344,0.001817,93.654921,31.491494
57500,13,0.000086,0.586663,0.003561,-0.784806,0.424336,0.001737,93.219070,31.620855
57600,13,0.000086,0.588209,0.003549,-0.790504,0.423398,0.001668,92.795570,31.747205
57700,14,0.000086,0.587247,0.003557,-0.788972,0.424727,0.001851,92.269200,31.910251
57800,14,0.000086,0.586731,0.003580,-0.778390,0.424141,0.001670,91.859967,32.034266
57900,14,0.000086,0.588554,0.003537,-0.779294,0.419570,0.001569,91.450577,32.159447
58000,14,0.000086,0.586574,0.003550,-0.783871,0.424531,0.001655,91.046680,32.283806
58000,-0.077856,0.003117,-0.809731,0.430664,0.003436
58100,14,0.000086,0.587109,0.003517,-0.785816,0.421563,0.001693,90.615083,32.419180
58200,14,0.000086,0.582557,0.003576,-0.793315,0.428906,0.001617,90.222841,32.541649
58300,14,0.000086,0.588938,0.003529,-0.774811,0.419727,0.001697,89.836233,32.663139
58400,14,0.000086,0.583842,0.003511,-0.777457,0.426484,0.001845,89.453709,32.784182
58500,14,0.000086,0.588284,0.003548,-0.778597,0.423164,0.001692,89.073201,32.905520
58600,14,0.000085,0.587551,0.003520,-0.780572,0.425742,0.001652,88.696919,33.026326
58700,14,0.000085,0.587790,0.003532,-0.774524,0.423516,0.001834,88.324590,33.146677
58800,14,0.000085,0.588467,0.003539,-0.775402,0.424844,0.001895,87.958417,33.265719
58900,14,0.000085,0.589754,0.003556,-0.789928,0.418281,0.001941,87.596523,33.384126
59000,14,0.000085,0.589437,0.003564,-0.772830,0.418164,0.001645,87.240437,33.501284
59100,14,0.000085,0.589818,0.003586,-0.778174,0.419023,0.001629,86.887700,33.618107
59200,14,0.000085,0.587457,0.003552,-0.788388,0.419570,0.001574,86.537183,33.735017
