step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
3800,0,0.000300,0.690944,-0.066951,1.515790,0.006303,-0.732548,1.464791,0.050999,0.338438,0.068560,0.126901,2.743033,1.132324,7.237972,261.076827
3900,0,0.000300,0.692978,-0.068589,1.523133,0.005704,-0.742930,1.466119,0.057014,0.328086,0.076599,0.119282,2.873701,2.205950,7.249422,260.434564
4000,1,0.000300,0.694669,-0.067409,1.524155,0.005503,-0.729115,1.469485,0.054670,0.333203,0.066067,0.123817,3.031648,1.334544,7.229784,260.911436
4000,0.003870,0.006679,0.008218,-0.065161,0.006260,-0.714206,0.066630,0.298828,0.204783,2.734524,0.063380,0.100454
4100,1,0.000300,0.691223,-0.067538,1.517523,0.005319,-0.728569,1.469276,0.048247,0.334062,0.079204,0.119741,2.970601,1.474555,7.222691,260.936906
4200,1,0.000300,0.688274,-0.067568,1.511685,0.005288,-0.728563,1.464731,0.046954,0.338242,0.070647,0.119992,3.061386,1.267855,7.225616,260.600602
4300,1,0.000300,0.689149,-0.068526,1.515351,0.005262,-0.737885,1.467438,0.047913,0.335156,0.075059,0.118620,3.079924,1.473872,7.224821,260.398618
4400,1,0.000300,0.689383,-0.068281,1.515328,0.005363,-0.736443,1.465893,0.049435,0.335313,0.078813,0.115210,3.122916,0.976349,7.233858,259.842892
4500,1,0.000300,0.688905,-0.067962,1.513734,0.005487,-0.734492,1.461115,0.052620,0.337695,0.073552,0.117992,3.177031,1.187436,7.239673,259.403998
4600,1,0.000300,0.691666,-0.067399,1.518129,0.005551,-0.729500,1.464962,0.053166,0.340898,0.072358,0.115316,3.320793,1.821267,7.240098,259.158539
4700,1,0.000300,0.686422,-0.068500,1.509845,0.005310,-0.738104,1.464647,0.045198,0.336836,0.069778,0.116749,3.323476,1.407435,7.245202,258.745952
4800,1,0.000300,0.689165,-0.068892,1.516115,0.005296,-0.741886,1.466963,0.049152,0.337266,0.071340,0.114533,3.353505,0.969093,7.242825,258.600767
4900,1,0.000300,0.697841,-0.066727,1.529136,0.005635,-0.723623,1.468156,0.060980,0.332188,0.064797,0.117534,3.439456,2.536835,7.247732,258.195697
5000,1,0.000300,0.694427,-0.067219,1.523292,0.005438,-0.726569,1.470242,0.053050,0.330859,0.072495,0.114105,3.385260,1.448893,7.248568,257.936003
5100,1,0.000299,0.689470,-0.069656,1.518251,0.005225,-0.748809,1.469423,0.048827,0.327070,0.067788,0.113678,3.456877,2.227768,7.253590,257.527664
5200,1,0.000299,0.690935,-0.069173,1.520217,0.005421,-0.745937,1.468412,0.051805,0.334727,0.070374,0.111146,3.430455,2.055074,7.258183,257.135077
5300,1,0.000299,0.690425,-0.067887,1.516624,0.005218,-0.731044,1.468912,0.047713,0.336562,0.073345,0.111785,3.487718,2.114306,7.262004,256.770262
5400,1,0.000299,0.689828,-0.069677,1.519009,0.005369,-0.750459,1.465429,0.053580,0.332852,0.066096,0.113747,3.505023,0.887331,7.263425,256.490557
5500,1,0.000299,0.684846,-0.069308,1.508308,0.005098,-0.744061,1.463830,0.044478,0.339023,0.076487,0.106806,3.532770,0.994130,7.257894,256.456391
5600,1,0.000299,0.695871,-0.069232,1.530207,0.005308,-0.745404,1.472350,0.057857,0.331641,0.072485,0.108479,3.571614,1.321987,7.258050,256.221239
5700,1,0.000299,0.718001,-0.065600,1.567202,0.006142,-0.717420,1.473645,0.093557,0.323008,0.068884,0.113359,3.729254,1.519557,7.262116,255.848295
5800,1,0.000299,0.704873,-0.066978,1.543701,0.005790,-0.727680,1.468336,0.075365,0.331797,0.070149,0.111725,3.719158,2.265243,7.265839,255.487806
5900,1,0.000299,0.712476,-0.066316,1.557584,0.005923,-0.722389,1.474637,0.082947,0.326211,0.069927,0.112687,3.692041,1.726621,7.272025,255.041291
6000,1,0.000299,0.710503,-0.066780,1.554566,0.005878,-0.726582,1.473935,0.080631,0.320781,0.067729,0.109731,3.803614,2.955951,7.267934,254.955530
6000,0.004980,0.006219,0.007548,-0.061173,0.006148,-0.673217,0.067239,0.306641,0.293625,3.621752,0.073942,0.092420
6100,1,0.000299,0.715278,-0.064750,1.560054,0.006206,-0.709553,1.472861,0.087193,0.330664,0.069465,0.109703,3.866259,1.238361,7.268327,254.712451
6200,1,0.000299,0.697946,-0.068960,1.533812,0.005581,-0.745418,1.468743,0.065069,0.332148,0.065659,0.107015,3.876539,1.342877,7.267409,254.515268
6300,1,0.000299,0.708438,-0.067036,1.550949,0.005862,-0.728986,1.475472,0.075477,0.329570,0.071772,0.110635,3.800138,2.017001,7.265315,254.359231
6400,1,0.000299,0.711295,-0.066830,1.556249,0.006071,-0.729008,1.472583,0.083666,0.325156,0.071394,0.108048,3.857532,2.316996,7.268304,254.025346
6500,1,0.000299,0.706713,-0.066777,1.546980,0.005958,-0.727346,1.469780,0.077200,0.327500,0.072766,0.107932,3.857724,2.732198,7.272511,253.649219
6600,1,0.000299,0.706182,-0.066109,1.544581,0.005783,-0.718918,1.471138,0.073443,0.328477,0.062979,0.110937,4.054580,2.424755,7.273778,253.375905
6700,1,0.000299,0.687259,-0.069828,1.514175,0.005155,-0.749832,1.465661,0.048514,0.336445,0.064070,0.105993,4.085130,1.848446,7.271706,253.218885
6800,1,0.000299,0.691185,-0.068835,1.520040,0.005241,-0.740768,1.464909,0.055131,0.340078,0.069568,0.104860,3.912986,1.903622,7.273517,252.926690
6900,1,0.000299,0.688923,-0.068695,1.515236,0.005128,-0.738232,1.467437,0.047800,0.333047,0.066011,0.107343,3.918885,2.291546,7.272239,252.741954
7000,1,0.000299,0.688064,-0.068261,1.512649,0.005221,-0.734818,1.460553,0.052096,0.341875,0.064263,0.108465,3.974356,2.683037,7.271868,252.525668
7100,1,0.000299,0.699078,-0.068757,1.535669,0.005454,-0.742109,1.476030,0.059640,0.335547,0.066553,0.104299,4.028291,3.747279,7.271920,252.294676
7200,1,0.000298,0.690223,-0.069754,1.519953,0.005219,-0.749736,1.467146,0.052807,0.336836,0.067788,0.104781,3.971427,2.641788,7.271541,252.078605
7300,1,0.000298,0.701594,-0.067268,1.537725,0.005635,-0.729033,1.475814,0.061911,0.325234,0.066775,0.106671,4.046772,3.171390,7.274039,251.762918
7400,1,0.000298,0.701634,-0.066870,1.537008,0.005788,-0.726578,1.467375,0.069633,0.330937,0.067815,0.105028,4.054465,2.294847,7.276540,251.447331
7500,1,0.000298,0.686188,-0.070783,1.513942,0.005069,-0.758515,1.467088,0.046853,0.339336,0.064683,0.103554,4.064131,3.828312,7.277945,251.169815
7600,1,0.000298,0.679965,-0.070861,1.501652,0.004848,-0.757091,1.461395,0.040257,0.344531,0.064585,0.103682,3.986201,1.985026,7.283506,250.749198
7700,1,0.000298,0.694280,-0.069273,1.527107,0.005090,-0.743627,1.466577,0.060530,0.338516,0.064790,0.104629,4.082731,1.453215,7.285312,250.458263
7800,1,0.000298,0.704227,-0.068622,1.545698,0.005475,-0.740975,1.470226,0.075472,0.327461,0.065918,0.104535,4.066990,2.244545,7.283665,250.286079
7900,2,0.000298,0.698080,-0.068202,1.532563,0.005104,-0.733060,1.472908,0.059655,0.334453,0.063708,0.107545,4.160587,2.454656,7.270293,250.517181
8000,2,0.000298,0.709406,-0.068422,1.555658,0.005607,-0.740298,1.474971,0.080686,0.324844,0.066335,0.105344,4.171211,2.094018,7.273631,250.173078
8000,0.003862,0.005359,0.006649,-0.068987,0.005313,-0.743003,0.067342,0.319824,0.137362,4.128239,0.077111,0.100256
8100,2,0.000298,0.707450,-0.067289,1.549478,0.005592,-0.728810,1.470864,0.078614,0.324141,0.067590,0.104014,4.148920,1.453956,7.266756,250.180412
8200,2,0.000298,0.718445,-0.066307,1.569503,0.005918,-0.722249,1.474453,0.095050,0.321953,0.062351,0.105662,4.232461,2.189225,7.267544,249.923959
8300,2,0.000298,0.712028,-0.067492,1.559039,0.005787,-0.732789,1.473644,0.085394,0.323125,0.059229,0.105022,4.228401,2.059601,7.268146,249.673948
8400,2,0.000298,0.702154,-0.067770,1.539848,0.005494,-0.732641,1.466082,0.073766,0.329492,0.060117,0.102939,4.237688,2.574611,7.269370,249.402626
8500,2,0.000298,0.703727,-0.067943,1.543339,0.005515,-0.734572,1.467916,0.075422,0.328008,0.059011,0.104893,4.261663,1.923720,7.274372,249.002035
8600,2,0.000298,0.700461,-0.068197,1.537315,0.005435,-0.736318,1.469689,0.067626,0.330508,0.064006,0.105650,4.213523,3.294492,7.271063,248.886111
8700,2,0.000298,0.685911,-0.070745,1.513311,0.004964,-0.757092,1.465558,0.047754,0.337500,0.064482,0.103469,4.154424,2.230067,7.275095,248.519093
8800,2,0.000297,0.690385,-0.069741,1.520251,0.005093,-0.748337,1.467278,0.052973,0.337617,0.060947,0.104127,4.299717,2.129405,7.269985,248.464536
8900,2,0.000297,0.694408,-0.068892,1.526600,0.005071,-0.739627,1.471628,0.054972,0.332617,0.060317,0.104632,4.326390,1.404409,7.272318,248.155639
9000,2,0.000297,0.692306,-0.069322,1.523257,0.005064,-0.743868,1.469154,0.054103,0.331680,0.063716,0.103424,4.281280,2.041361,7.272463,247.921515
9100,2,0.000297,0.688940,-0.069414,1.516708,0.005489,-0.749031,1.467378,0.049331,0.339141,0.064717,0.105791,4.279300,1.645209,7.272768,247.681942
9200,2,0.000297,0.690867,-0.069001,1.519736,0.004951,-0.739521,1.468936,0.050800,0.341172,0.061287,0.106827,4.263800,2.323390,7.275183,247.370634
9300,2,0.000297,0.681993,-0.070300,1.504585,0.004872,-0.751721,1.461970,0.042616,0.341172,0.064651,0.104764,4.313148,2.271758,7.279203,247.005056
9400,2,0.000297,0.682745,-0.069630,1.504750,0.004819,-0.744491,1.463553,0.041198,0.338711,0.063408,0.103131,4.354073,2.160964,7.275375,246.905958
9500,2,0.000297,0.693033,-0.069822,1.525710,0.005036,-0.748579,1.470524,0.055186,0.337656,0.058169,0.105807,4.401440,2.196382,7.276798,246.628621
9600,2,0.000297,0.687189,-0.069634,1.513648,0.004960,-0.745943,1.464475,0.049172,0.341328,0.059351,0.105708,4.368461,2.569370,7.277714,246.368570
9700,2,0.000297,0.691814,-0.070103,1.523834,0.005232,-0.753353,1.464060,0.059774,0.337422,0.060679,0.104324,4.374691,2.945819,7.280138,246.057619
9800,2,0.000297,0.694747,-0.069330,1.528153,0.005186,-0.745160,1.468905,0.059249,0.337734,0.061160,0.104256,4.409583,3.056298,7.278749,245.875590
9900,2,0.000297,0.725246,-0.066114,1.582721,0.006256,-0.723709,1.477099,0.105622,0.317656,0.056292,0.105386,4.465791,3.790432,7.279736,245.613291
10000,2,0.000296,0.729289,-0.065311,1.589201,0.006459,-0.717703,1.478575,0.110626,0.312695,0.057952,0.106465,4.496363,6.392924,7.280081,245.372741
10000,0.005204,0.007221,0.007690,-0.063165,0.006617,-0.697821,0.067099,0.310547,0.122840,4.609853,0.071286,0.116773
10100,2,0.000296,0.726569,-0.064524,1.582186,0.006430,-0.709539,1.474477,0.107709,0.320469,0.063579,0.106804,4.478019,6.290788,7.279996,245.146648
10200,2,0.000296,0.727019,-0.065136,1.584310,0.006217,-0.713530,1.481501,0.102808,0.318711,0.061790,0.106922,4.472624,10.351729,7.281007,244.883723
10300,2,0.000296,0.730414,-0.065503,1.591832,0.006492,-0.719949,1.476416,0.115416,0.311836,0.058079,0.105195,4.481559,3.300799,7.280025,244.687804
10400,2,0.000296,0.730369,-0.064404,1.589544,0.006523,-0.709265,1.476707,0.112837,0.307227,0.060405,0.103031,4.498308,1.514101,7.278861,244.497944
10500,2,0.000296,0.730445,-0.064607,1.590103,0.006462,-0.710685,1.478042,0.112062,0.312383,0.058315,0.101823,4.575304,1.640892,7.276405,244.351424
10600,2,0.000296,0.729110,-0.064999,1.588218,0.006484,-0.714829,1.475804,0.112414,0.313594,0.054856,0.106008,4.523522,2.576433,7.279369,244.022966
10700,2,0.000296,0.731865,-0.064082,1.591895,0.006612,-0.706946,1.475982,0.115913,0.317031,0.056887,0.103775,4.559384,2.657559,7.277670,243.850940
10800,2,0.000296,0.723474,-0.066915,1.580777,0.006177,-0.730924,1.478928,0.101850,0.315820,0.057964,0.104611,4.495036,3.505105,7.279775,243.551493
10900,2,0.000296,0.719541,-0.065637,1.570355,0.006186,-0.718223,1.469444,0.100911,0.317148,0.061743,0.106548,4.464909,3.863636,7.278968,243.349500
11000,2,0.000296,0.733131,-0.063821,1.593904,0.006454,-0.702750,1.484281,0.109623,0.315430,0.060029,0.105783,4.596371,1.721036,7.278250,243.144531
11100,2,0.000295,0.724472,-0.065364,1.579671,0.006244,-0.716085,1.474977,0.104694,0.323086,0.058110,0.102174,4.612656,2.120732,7.278415,242.910040
