step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
100,0,0.000002,1.930223,1.477842,3.015872,1.229422,1.819460,1.946147,1.069725,0.140937,0.928672,1.884274,3.469278,11.384549,2.306940,845.853390,3.155197
200,0,0.000005,1.373355,0.921521,3.012221,0.738579,1.441132,1.945997,1.066224,0.145039,0.775078,0.921101,3.664369,7.614661,3.238367,602.052360,3.054688
300,0,0.000007,1.112135,0.664024,2.987409,0.517640,1.185775,1.945380,1.042030,0.153047,0.655273,0.472221,3.922308,5.996259,3.747232,519.850339,2.809826
400,0,0.000010,0.895769,0.453170,2.950658,0.348077,0.841264,1.944567,1.006091,0.165625,0.498848,0.338979,4.249915,3.870653,4.059688,479.429331,2.464533
500,0,0.000012,0.700082,0.266357,2.891496,0.205591,0.456667,1.943158,0.948338,0.180938,0.347207,0.268322,4.474080,2.054169,4.281061,454.248757,2.475246
600,0,0.000015,0.539510,0.154250,2.568398,0.126866,0.158462,1.930354,0.638044,0.199492,0.259883,0.231867,4.422132,1.261141,4.440372,437.575970,3.213113
700,0,0.000017,0.416637,0.099434,2.114689,0.091554,-0.019696,1.881105,0.233583,0.224062,0.226191,0.235523,4.163870,1.085843,4.564342,425.326017,3.735244
800,0,0.000020,0.371295,0.067320,2.026499,0.072226,-0.138657,1.868120,0.158379,0.226523,0.214961,0.262368,3.848862,1.041529,4.670631,415.290092,3.685307
900,0,0.000022,0.338270,0.045975,1.948636,0.058931,-0.214124,1.856208,0.092428,0.232695,0.204971,0.282898,3.597614,0.867735,4.747265,408.235047,3.655451
1000,0,0.000025,0.315604,0.026501,1.927354,0.048198,-0.294911,1.846788,0.080566,0.241836,0.193135,0.283544,3.392164,0.932505,4.806578,402.850665,3.862713
1100,0,0.000027,0.300937,0.013406,1.916874,0.040616,-0.346740,1.847148,0.069726,0.239727,0.180801,0.263010,3.343654,0.899294,4.864382,397.720938,4.007617
1200,0,0.000030,0.286844,0.001339,1.903367,0.034651,-0.404521,1.844511,0.058856,0.245625,0.170713,0.250624,3.243764,0.923439,4.912909,393.453250,4.224386
1300,0,0.000032,0.277373,-0.007760,1.900890,0.029527,-0.443126,1.850020,0.050870,0.232773,0.160703,0.230347,3.174900,0.852730,4.950168,390.155133,4.485723
1400,0,0.000035,0.270183,-0.015421,1.904023,0.025213,-0.474099,1.851729,0.052294,0.235039,0.151777,0.214419,3.067862,0.883702,4.978258,387.618876,4.649243
1500,0,0.000037,0.260344,-0.022782,1.887504,0.021694,-0.510403,1.847031,0.040473,0.246719,0.143682,0.200390,2.999274,0.830401,5.007747,385.003511,4.957802
1600,0,0.000040,0.265382,-0.028492,1.959162,0.018955,-0.539517,1.854830,0.104332,0.245781,0.137549,0.188800,2.929592,0.821736,5.027715,383.142914,5.203648
1700,0,0.000042,0.251032,-0.034646,1.904523,0.016604,-0.574828,1.843557,0.060966,0.246758,0.131978,0.177561,2.882193,0.779762,5.051775,380.988198,5.571102
1800,0,0.000045,0.242624,-0.037301,1.866164,0.014822,-0.583336,1.829171,0.036993,0.252656,0.127246,0.165673,2.844133,0.780377,5.069007,379.364243,5.942609
1900,0,0.000047,0.238634,-0.040810,1.862961,0.013706,-0.606136,1.818916,0.044045,0.260664,0.121353,0.155810,2.812724,0.734175,5.080886,378.149297,6.294474
2000,0,0.000050,0.239668,-0.041304,1.873146,0.012717,-0.602164,1.824232,0.048914,0.258008,0.119150,0.151157,2.784311,0.635899,5.098336,376.528076,6.734943
2000,0.006241,0.007699,0.010254,-0.048361,0.008092,-0.625484,0.071833,0.256348,0.184358,2.617308,0.023427,0.117088,7.716879
2100,0,0.000052,0.234040,-0.044004,1.853625,0.011573,-0.616293,1.817229,0.036396,0.257695,0.113208,0.143934,2.768100,0.618496,5.103201,375.842505,6.865482
2200,0,0.000055,0.228465,-0.047338,1.838689,0.010519,-0.638720,1.812695,0.025994,0.260313,0.114287,0.142015,2.750790,0.639370,5.117949,374.433826,7.103441
2300,0,0.000057,0.225536,-0.049359,1.832636,0.009900,-0.651797,1.807718,0.024918,0.260195,0.109902,0.136688,2.721766,0.622481,5.138294,372.626910,7.481441
2400,0,0.000060,0.223814,-0.050576,1.829263,0.009182,-0.657072,1.803540,0.025723,0.266250,0.103960,0.134114,2.722870,0.613016,5.152649,371.265367,7.678060
2500,0,0.000062,0.221706,-0.052894,1.830670,0.008558,-0.673019,1.807831,0.022839,0.259492,0.107188,0.130742,2.679437,0.563580,5.164306,370.104561,8.017705
2600,0,0.000065,0.221677,-0.052824,1.830007,0.008370,-0.670983,1.806544,0.023463,0.259805,0.100151,0.132335,2.709477,0.596152,5.175149,369.007054,7.944047
2700,0,0.000067,0.219075,-0.054177,1.821676,0.007954,-0.679936,1.800675,0.021001,0.256836,0.101455,0.130598,2.688334,0.558942,5.183325,368.103489,8.211416
2800,0,0.000070,0.220925,-0.053548,1.829826,0.007750,-0.672191,1.805996,0.023830,0.253164,0.102026,0.131858,2.668517,0.569350,5.195599,366.913078,8.244416
2900,0,0.000072,0.217642,-0.055600,1.821613,0.007514,-0.689597,1.797702,0.023911,0.257930,0.095166,0.125678,2.681820,0.564451,5.203441,366.039825,8.544229
3000,0,0.000075,0.217884,-0.055372,1.821705,0.007259,-0.685213,1.800425,0.021280,0.258594,0.099517,0.129001,2.674878,0.549038,5.215481,364.875246,8.549127
3100,0,0.000077,0.215809,-0.055584,1.809282,0.007096,-0.685150,1.790428,0.018854,0.264922,0.097705,0.125537,2.648626,0.557566,5.221369,364.144607,8.796574
3200,0,0.000080,0.213931,-0.057269,1.808000,0.006913,-0.699663,1.787945,0.020055,0.264570,0.089702,0.125916,2.637182,0.548751,5.229396,363.266954,8.878068
3300,0,0.000082,0.215995,-0.056259,1.815024,0.006807,-0.689155,1.794527,0.020498,0.261367,0.089478,0.124906,2.661593,0.537557,5.233234,362.682014,8.586657
3400,0,0.000085,0.216356,-0.057181,1.823582,0.006833,-0.698016,1.800899,0.022684,0.256367,0.086729,0.127373,2.651688,0.540216,5.241685,361.779354,8.486440
3500,0,0.000087,0.213643,-0.058318,1.813075,0.006517,-0.705971,1.794300,0.018775,0.265273,0.089448,0.128157,2.643304,0.521387,5.248370,361.001001,8.901949
3600,0,0.000090,0.214287,-0.057988,1.815163,0.006435,-0.702243,1.794633,0.020530,0.257578,0.081328,0.127793,2.685738,0.494497,5.252111,360.426504,8.509090
3700,0,0.000092,0.213695,-0.058557,1.815013,0.006319,-0.706768,1.794665,0.020348,0.264727,0.083794,0.126367,2.674986,0.496767,5.260360,359.544480,8.737903
3800,0,0.000095,0.211844,-0.059237,1.807206,0.006143,-0.711203,1.788909,0.018297,0.265039,0.078130,0.120849,2.649721,0.493196,5.267226,358.759399,8.957616
3900,0,0.000097,0.213164,-0.059079,1.814954,0.006130,-0.709223,1.795701,0.019253,0.261016,0.078477,0.120540,2.675243,0.484521,5.272493,358.084845,8.826265
4000,1,0.000100,0.210372,-0.059500,1.799146,0.005979,-0.712298,1.781669,0.017476,0.268164,0.077393,0.122956,2.664860,0.417218,5.260335,358.595643,8.512316
4000,0.003810,0.004726,0.005528,-0.060533,0.004752,-0.711183,0.067110,0.286621,0.021173,2.593957,0.050053,0.109904,8.815883
4100,1,0.000100,0.210872,-0.059779,1.804341,0.005932,-0.714977,1.786789,0.017552,0.259258,0.077495,0.121090,2.663901,0.433222,5.257444,358.475869,8.696141
4200,1,0.000100,0.209842,-0.059895,1.798246,0.005945,-0.715788,1.781819,0.016427,0.263047,0.074385,0.120543,2.711657,0.440251,5.261394,357.889966,8.565325
4300,1,0.000100,0.210435,-0.059783,1.801452,0.005942,-0.714387,1.782817,0.018635,0.268789,0.081836,0.122376,2.657699,0.461263,5.265151,357.317989,8.482085
4400,1,0.000100,0.209152,-0.059734,1.792577,0.005752,-0.712443,1.777243,0.015335,0.267891,0.071230,0.119856,2.666692,0.399330,5.267379,356.850477,8.579045
4500,1,0.000100,0.208915,-0.060323,1.794920,0.005766,-0.718120,1.778602,0.016318,0.263750,0.073286,0.122793,2.685343,0.399257,5.269810,356.369593,8.486819
4600,1,0.000100,0.208391,-0.060114,1.790037,0.005716,-0.715681,1.773284,0.016753,0.273477,0.079351,0.117708,2.671383,0.443553,5.272735,355.855811,8.721368
4700,1,0.000100,0.209305,-0.059849,1.794363,0.005638,-0.712621,1.780969,0.013394,0.260352,0.077153,0.119447,2.691731,0.410061,5.277211,355.238121,8.456806
4800,1,0.000100,0.207925,-0.061000,1.792833,0.005653,-0.723580,1.777767,0.015065,0.262734,0.075854,0.114827,2.669177,0.414548,5.279753,354.751424,8.889449
4900,1,0.000100,0.208105,-0.059870,1.786501,0.005574,-0.712450,1.771682,0.014818,0.266992,0.073037,0.118267,2.692341,0.425961,5.281293,354.332430,8.629807
5000,1,0.000100,0.208995,-0.060256,1.795007,0.005661,-0.716849,1.778217,0.016791,0.266836,0.068865,0.118326,2.709609,0.391510,5.282441,353.939905,8.652000
5100,1,0.000100,0.207978,-0.061620,1.797322,0.005564,-0.728299,1.776807,0.020514,0.268359,0.070127,0.114407,2.694278,0.438242,5.287150,353.309428,8.925083
5200,1,0.000100,0.208300,-0.062221,1.803474,0.005518,-0.733914,1.783067,0.020407,0.262617,0.068584,0.114649,2.689726,0.419901,5.286546,353.034527,8.938222
5300,1,0.000100,0.210814,-0.060256,1.807139,0.005583,-0.715954,1.783994,0.023145,0.259180,0.068867,0.114334,2.745684,0.406372,5.287066,352.684579,8.738492
5400,1,0.000100,0.208656,-0.060340,1.793305,0.005509,-0.715981,1.775069,0.018236,0.266055,0.068877,0.113487,2.764357,0.402205,5.291474,352.075832,8.650712
5500,1,0.000100,0.208832,-0.059499,1.788874,0.005507,-0.707886,1.773257,0.015617,0.265820,0.073650,0.113440,2.730420,0.407225,5.295145,351.517000,8.729689
5600,1,0.000100,0.207929,-0.060713,1.790951,0.005479,-0.718617,1.773656,0.017295,0.265156,0.064302,0.113501,2.768620,0.386738,5.294023,351.276631,8.398796
5700,1,0.000100,0.205595,-0.062147,1.784949,0.005354,-0.732061,1.767470,0.017479,0.268867,0.067471,0.114910,2.729478,0.391010,5.295335,350.874872,8.626124
5800,1,0.000100,0.206502,-0.061285,1.785247,0.005380,-0.723966,1.768476,0.016771,0.267383,0.065642,0.115391,2.752848,0.407236,5.298138,350.374655,8.498509
5900,1,0.000100,0.207244,-0.060196,1.782932,0.005340,-0.713189,1.765493,0.017440,0.270742,0.068970,0.112891,2.748304,0.421028,5.301010,349.870414,8.662363
6000,1,0.000100,0.206430,-0.061360,1.785266,0.005326,-0.723932,1.769169,0.016097,0.272891,0.064390,0.114262,2.763435,0.402776,5.302664,349.447026,8.319408
6000,0.003734,0.004596,0.005692,-0.063775,0.004753,-0.742031,0.070344,0.276855,0.037049,2.834480,0.047384,0.122742,7.475191
6100,1,0.000100,0.206016,-0.061054,1.780468,0.005278,-0.720506,1.764586,0.015882,0.266250,0.071489,0.110246,2.731894,0.385521,5.304228,349.029744,8.780482
6200,1,0.000100,0.209811,-0.060963,1.805157,0.005465,-0.721594,1.779586,0.025571,0.265430,0.067839,0.110849,2.764738,0.471023,5.306988,348.534181,8.567456
6300,1,0.000100,0.207631,-0.061341,1.793143,0.005272,-0.723446,1.772274,0.020869,0.271836,0.065291,0.111441,2.712170,0.450877,5.307976,348.155314,9.163553
6400,1,0.000100,0.204898,-0.062120,1.780124,0.005146,-0.730025,1.762875,0.017249,0.273203,0.062876,0.111296,2.740603,0.419866,5.311216,347.629114,8.667789
6500,1,0.000100,0.204737,-0.061038,1.771833,0.005288,-0.720765,1.756035,0.015798,0.279922,0.061604,0.112135,2.769534,0.433737,5.314001,347.133298,8.511328
6600,1,0.000100,0.205794,-0.061554,1.782318,0.005378,-0.726659,1.765747,0.016572,0.272461,0.066533,0.110338,2.775535,0.441428,5.315742,346.706059,8.616171
6700,1,0.000100,0.205453,-0.062131,1.783889,0.005215,-0.730438,1.766810,0.017079,0.268984,0.064951,0.109660,2.797767,0.433351,5.318488,346.213664,8.710143
6800,1,0.000100,0.203732,-0.062046,1.771854,0.005140,-0.728824,1.757284,0.014570,0.274648,0.064973,0.111446,2.773584,0.414400,5.317537,345.962185,8.647550
6900,1,0.000100,0.204970,-0.061579,1.776995,0.005234,-0.725625,1.759795,0.017200,0.272539,0.071035,0.110762,2.806328,0.469275,5.321213,345.409959,8.660924
7000,1,0.000100,0.205039,-0.061403,1.776281,0.005245,-0.724024,1.760163,0.016118,0.277461,0.067673,0.109929,2.769772,0.403664,5.321541,345.075502,8.659644
7100,1,0.000100,0.203941,-0.062135,1.773838,0.005253,-0.731067,1.758006,0.015833,0.271250,0.070339,0.108237,2.743249,0.427009,5.324002,344.602945,8.957059
7200,1,0.000100,0.202675,-0.062237,1.766084,0.005107,-0.730141,1.751599,0.014485,0.276797,0.068206,0.106148,2.780896,0.460399,5.325966,344.162913,8.721907
7300,1,0.000100,0.204304,-0.062239,1.776953,0.005144,-0.730827,1.761439,0.015514,0.267500,0.066760,0.108448,2.790184,0.444909,5.328621,343.678674,8.573993
7400,1,0.000100,0.201458,-0.063112,1.763804,0.005149,-0.739078,1.750423,0.013381,0.276328,0.063064,0.107055,2.793825,0.387827,5.329764,343.292220,8.613638
7500,1,0.000100,0.203175,-0.061722,1.765984,0.005160,-0.726007,1.752463,0.013522,0.278203,0.067410,0.108077,2.767096,0.428634,5.331934,342.839944,8.667624
7600,1,0.000100,0.204471,-0.061479,1.772999,0.005156,-0.723989,1.758247,0.014752,0.277187,0.069736,0.108047,2.798875,0.373550,5.333558,342.423060,8.444951
7700,1,0.000100,0.202158,-0.062168,1.762176,0.005136,-0.730130,1.749021,0.013156,0.275820,0.067393,0.104515,2.792701,0.403462,5.333385,342.121708,8.898752
7800,1,0.000100,0.202947,-0.062222,1.767790,0.005030,-0.729829,1.753656,0.014134,0.276445,0.063586,0.107464,2.814649,0.432698,5.333976,341.771314,8.664076
7900,2,0.000100,0.201899,-0.062591,1.763265,0.005113,-0.734022,1.748525,0.014740,0.283555,0.065620,0.104350,2.800283,0.421553,5.327443,341.877596,9.105298
8000,2,0.000100,0.202978,-0.062492,1.769802,0.005099,-0.732704,1.754926,0.014876,0.271836,0.067939,0.104584,2.817121,0.386449,5.328845,341.474851,9.118792
8000,0.003418,0.004165,0.005286,-0.065306,0.004279,-0.752738,0.069332,0.292969,0.033686,2.893785,0.053631,0.109449,8.432653
8100,2,0.000100,0.201965,-0.061948,1.759416,0.005041,-0.727554,1.745007,0.014409,0.278398,0.063845,0.105610,2.845677,0.389385,5.327537,341.245899,9.044740
8200,2,0.000100,0.202485,-0.062129,1.764098,0.005047,-0.728974,1.750654,0.013444,0.281289,0.066125,0.105521,2.797006,0.376354,5.328674,340.860266,9.689713
8300,2,0.000100,0.204638,-0.061001,1.770924,0.005107,-0.719121,1.757050,0.013873,0.277187,0.067837,0.105491,2.810416,0.435815,5.329896,340.469409,9.185391
8400,2,0.000100,0.202623,-0.062087,1.764733,0.005010,-0.728338,1.751009,0.013724,0.277695,0.065134,0.105404,2.799445,0.421724,5.331105,340.079588,9.390939
8500,2,0.000100,0.201187,-0.062403,1.757271,0.004952,-0.730502,1.745777,0.011494,0.280625,0.064021,0.103887,2.818613,0.373382,5.332072,339.705334,9.509900
8600,2,0.000100,0.203241,-0.061641,1.765885,0.005031,-0.724563,1.753960,0.011924,0.276367,0.068313,0.104374,2.811249,0.407110,5.334313,339.250165,9.320404
8700,2,0.000100,0.202838,-0.063028,1.772441,0.005049,-0.737531,1.756397,0.016044,0.274414,0.065161,0.104262,2.782585,0.401406,5.334476,338.927362,9.713811
8800,2,0.000100,0.202252,-0.062645,1.765976,0.005073,-0.734095,1.752089,0.013887,0.282539,0.069695,0.102441,2.800368,0.379582,5.336943,338.458413,9.601555
8900,2,0.000100,0.201906,-0.062378,1.761889,0.005008,-0.731262,1.748031,0.013857,0.274766,0.066284,0.104861,2.805642,0.360365,5.338883,338.023291,9.327147
9000,2,0.000100,0.200440,-0.063540,1.759865,0.004943,-0.741359,1.747202,0.012662,0.283086,0.060564,0.104171,2.816606,0.347147,5.341378,337.553324,9.351703
9100,2,0.000100,0.200266,-0.063884,1.761001,0.004931,-0.744542,1.747697,0.013304,0.278516,0.059424,0.103385,2.795232,0.405886,5.342061,337.198179,9.834737
9200,2,0.000099,0.202776,-0.061756,1.763550,0.004894,-0.724219,1.750613,0.012937,0.276484,0.062886,0.103396,2.792210,0.391220,5.343403,336.801566,9.918469
9300,2,0.000099,0.202934,-0.062652,1.770574,0.005005,-0.733801,1.757236,0.013338,0.269492,0.066533,0.102661,2.822158,0.512599,5.344067,336.447903,10.043715
9400,2,0.000099,0.200382,-0.063252,1.757560,0.004935,-0.739520,1.745314,0.012246,0.278906,0.061753,0.102804,2.806561,0.410083,5.344184,336.128641,9.826651
9500,2,0.000099,0.201233,-0.062973,1.761374,0.004951,-0.736417,1.749279,0.012095,0.278711,0.064629,0.101141,2.791283,0.349755,5.346006,335.702359,10.142231
9600,2,0.000099,0.199641,-0.063833,1.756489,0.004869,-0.743344,1.744902,0.011587,0.275977,0.069565,0.101867,2.799806,0.342513,5.346489,335.360253,10.152480
9700,2,0.000099,0.199182,-0.063528,1.751397,0.004871,-0.740720,1.740366,0.011031,0.284883,0.067732,0.100384,2.772460,0.364480,5.342731,335.284185,10.325084
9800,2,0.000099,0.200726,-0.062442,1.754452,0.005025,-0.731757,1.741087,0.013365,0.284570,0.070166,0.101886,2.799218,0.405033,5.344207,334.879750,10.028160
9900,2,0.000099,0.199932,-0.063279,1.754739,0.004970,-0.739184,1.742305,0.012434,0.282578,0.063877,0.098191,2.805999,0.402913,5.345213,334.504932,10.360663
10000,2,0.000099,0.199281,-0.062621,1.746011,0.004917,-0.732438,1.733899,0.012112,0.283906,0.069197,0.098528,2.819567,0.374629,5.347109,334.074627,10.623179
10000,0.003531,0.004138,0.005319,-0.065267,0.004352,-0.752552,0.068089,0.291992,0.026468,2.880646,0.064907,0.105926,10.105754
10100,2,0.000099,0.200216,-0.063051,1.755115,0.004965,-0.737405,1.744105,0.011010,0.282656,0.067437,0.099818,2.832406,0.358110,5.346246,333.816806,10.309744
10200,2,0.000099,0.200224,-0.062562,1.751906,0.004903,-0.732154,1.740066,0.011840,0.285977,0.069644,0.098604,2.809714,0.352207,5.347684,333.415341,10.698430
10300,2,0.000099,0.200968,-0.062005,1.753153,0.004966,-0.727049,1.740493,0.012661,0.285273,0.073213,0.096837,2.811021,0.354659,5.347880,333.091515,11.169044
10400,2,0.000099,0.200189,-0.062884,1.753818,0.004962,-0.735214,1.739443,0.014376,0.285234,0.066904,0.097448,2.832994,0.360131,5.350422,332.621748,10.841302
10500,2,0.000099,0.200939,-0.062099,1.753584,0.004920,-0.727489,1.739422,0.014162,0.283867,0.062710,0.098129,2.827283,0.423082,5.350084,332.331213,11.003288
