step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
3800,0,0.000300,2.908594,-0.309375,1.457110,0.064395,-0.747605,1.438283,0.018826,0.350195,0.149712,0.129256,1.451522,12.971138,4.378986,431.530669
3900,0,0.000300,2.947500,-0.312656,1.457257,0.064214,-0.754060,1.439250,0.018007,0.343672,0.127222,0.136370,1.523075,18.568819,4.379670,431.082661
4000,1,0.000300,2.870625,-0.310928,1.460937,0.064429,-0.750794,1.442012,0.018925,0.347852,0.150049,0.129789,1.471058,26.878665,4.375515,431.111161
4000,0.002759,0.003853,0.005163,-0.387926,0.003983,-0.783819,0.068590,0.322266,0.016127,1.475366,0.158698,0.130684
4100,1,0.000300,2.871094,-0.308320,1.457540,0.064282,-0.745426,1.439897,0.017643,0.349453,0.139341,0.141897,1.527405,29.336099,4.372648,431.012653
4200,1,0.000300,2.866250,-0.309668,1.453655,0.064336,-0.747960,1.435346,0.018309,0.348516,0.142935,0.131826,1.456836,24.751294,4.372786,430.617957
4300,1,0.000300,2.852656,-0.316484,1.449239,0.064199,-0.761419,1.432521,0.016718,0.352266,0.148848,0.128120,1.449105,52.576346,4.373335,430.182776
4400,1,0.000300,2.852031,-0.309150,1.451256,0.064116,-0.746549,1.431955,0.019300,0.347344,0.152041,0.132952,1.479649,85.775546,4.373826,429.753396
4500,1,0.000300,2.852187,-0.312969,1.454096,0.064189,-0.754446,1.434716,0.019380,0.349453,0.136968,0.130491,1.481754,31.383932,4.373483,429.406017
4600,1,0.000300,2.832969,-0.307070,1.459972,0.064331,-0.742916,1.437251,0.022721,0.348789,0.161768,0.126522,1.511685,27.788547,4.373977,428.976466
4700,1,0.000300,2.811406,-0.311016,1.452413,0.064392,-0.751075,1.434446,0.017968,0.351289,0.137485,0.132463,1.555561,41.510165,4.373781,428.614659
4800,1,0.000300,2.846250,-0.309668,1.450902,0.064199,-0.747771,1.432524,0.018377,0.352930,0.146113,0.129419,1.611855,20.225283,4.374226,428.189999
4900,1,0.000300,2.825938,-0.314609,1.451458,0.064321,-0.758103,1.434472,0.016985,0.350000,0.141831,0.122366,1.570691,53.487906,4.373936,427.837361
5000,1,0.000300,2.877500,-0.311113,1.452170,0.064307,-0.751161,1.434390,0.017780,0.350195,0.144604,0.122264,1.533087,18.031025,4.374353,427.415567
5100,1,0.000299,2.772813,-0.313379,1.450245,0.064194,-0.755167,1.430392,0.019852,0.350625,0.157158,0.130098,1.565093,30.456853,4.372879,427.178513
5200,1,0.000299,2.792969,-0.308545,1.446151,0.064434,-0.745860,1.428257,0.017894,0.357578,0.149941,0.125343,1.537314,25.482869,4.373221,426.763971
5300,1,0.000299,2.782344,-0.312871,1.442655,0.064326,-0.754384,1.427251,0.015405,0.351875,0.144707,0.120628,1.577541,5.225269,4.373391,426.366311
5400,1,0.000299,2.757656,-0.313535,1.436011,0.064214,-0.755513,1.421926,0.014085,0.356289,0.157646,0.125495,1.603774,41.471323,4.373665,425.958524
5500,1,0.000299,2.777969,-0.314336,1.441552,0.064380,-0.757387,1.425072,0.016480,0.356094,0.156787,0.121255,1.556992,32.113987,4.373596,425.584223
5600,1,0.000299,2.749844,-0.309473,1.448821,0.064258,-0.747534,1.430759,0.018062,0.355781,0.139722,0.129161,1.593619,47.156994,4.373970,425.166796
5700,1,0.000299,2.743906,-0.314707,1.441951,0.064185,-0.757629,1.427077,0.014874,0.356289,0.139849,0.126059,1.636443,87.315608,4.374241,424.759438
5800,1,0.000299,2.678125,-0.312471,1.433848,0.064226,-0.753264,1.420453,0.013395,0.358320,0.145376,0.121959,1.608691,17.843401,4.373992,424.402585
5900,1,0.000299,2.768906,-0.314219,1.445814,0.064207,-0.757019,1.430250,0.015563,0.356758,0.148760,0.123653,1.613646,112.193922,4.373946,424.025951
6000,1,0.000299,2.727813,-0.313154,1.451111,0.064141,-0.754405,1.430770,0.020341,0.350352,0.152646,0.124095,1.602665,50.909679,4.374288,423.611776
6000,0.002689,0.003641,0.004753,-0.393562,0.003710,-0.794543,0.069485,0.338867,0.021998,1.632089,0.144247,0.125888
6100,1,0.000299,2.672188,-0.316230,1.448994,0.064038,-0.760600,1.431207,0.017787,0.350859,0.155469,0.122011,1.642729,26.218027,4.371110,423.538458
6200,1,0.000299,2.727969,-0.311484,1.456032,0.064211,-0.751259,1.434252,0.021780,0.352734,0.158848,0.122848,1.628793,29.953959,4.371221,423.146470
6300,1,0.000299,2.644687,-0.307822,1.446625,0.064180,-0.744165,1.431210,0.015414,0.357578,0.154473,0.122473,1.687627,21.335617,4.371416,422.746327
6400,1,0.000299,2.677188,-0.308301,1.451055,0.064160,-0.745081,1.430675,0.020380,0.353867,0.137563,0.124935,1.696830,81.216284,4.371834,422.324639
6500,1,0.000299,2.685938,-0.311035,1.454142,0.064170,-0.750584,1.433084,0.021058,0.346523,0.147080,0.124890,1.731721,39.115240,4.372269,421.901412
6600,1,0.000299,2.642187,-0.315752,1.456445,0.064092,-0.759927,1.436468,0.019977,0.350117,0.144199,0.125375,1.712228,25.754675,4.372618,421.486582
6700,1,0.000299,2.614844,-0.318848,1.465466,0.064146,-0.766164,1.441844,0.023622,0.350781,0.130688,0.130274,1.726787,45.216682,4.373033,421.065502
6800,1,0.000299,2.622031,-0.309746,1.468868,0.064297,-0.748117,1.443918,0.024950,0.351094,0.138379,0.129017,1.686804,43.673828,4.373284,420.660273
6900,1,0.000299,2.615625,-0.311885,1.474457,0.064441,-0.752783,1.450431,0.024026,0.341562,0.153105,0.122870,1.667714,75.390953,4.373489,420.259444
7000,1,0.000299,2.647969,-0.308203,1.462076,0.064346,-0.745207,1.438578,0.023498,0.351406,0.148535,0.128326,1.726589,28.675938,4.374043,419.825206
7100,1,0.000299,2.604062,-0.310439,1.478689,0.064246,-0.749345,1.452187,0.026502,0.344023,0.149121,0.132038,1.704080,33.167923,4.374429,419.407163
7200,1,0.000298,2.605938,-0.312988,1.464021,0.064180,-0.754420,1.442336,0.021684,0.350625,0.135225,0.129914,1.711369,15.114469,4.374821,418.988611
7300,1,0.000298,2.565313,-0.311953,1.466925,0.064141,-0.752290,1.447768,0.019157,0.344961,0.128330,0.126744,1.746522,37.044007,4.375425,418.549780
7400,1,0.000298,2.558438,-0.307559,1.461609,0.064360,-0.743766,1.441628,0.019980,0.348867,0.133188,0.129659,1.768804,31.299309,4.375384,418.172811
7500,1,0.000298,2.552656,-0.309531,1.474379,0.064268,-0.747568,1.451010,0.023369,0.342852,0.127129,0.131612,1.791308,47.208284,4.375853,417.747089
7600,1,0.000298,2.549688,-0.312744,1.463076,0.064385,-0.754258,1.440696,0.022380,0.351914,0.134595,0.128528,1.797363,37.729082,4.375982,417.353918
7700,1,0.000298,2.576875,-0.315264,1.461119,0.064199,-0.759029,1.442476,0.018643,0.347891,0.129653,0.130824,1.768645,27.743580,4.376094,416.962436
7800,1,0.000298,2.523281,-0.313389,1.460764,0.064126,-0.754868,1.440256,0.020508,0.345156,0.126016,0.128279,1.742472,26.569681,4.376534,416.539659
7900,2,0.000298,2.610625,-0.311348,1.465486,0.064268,-0.751342,1.443916,0.021571,0.348164,0.134517,0.127090,1.756427,44.749577,4.375003,416.304522
8000,2,0.000298,2.673437,-0.310762,1.466918,0.064258,-0.749943,1.442395,0.024524,0.350469,0.138071,0.122328,1.770551,25.197230,4.374910,415.932363
8000,0.002747,0.003628,0.004736,-0.377007,0.003747,-0.761507,0.065969,0.323242,0.024087,1.812822,0.123034,0.128584
8100,2,0.000298,2.528594,-0.314727,1.453825,0.064360,-0.758136,1.434505,0.019320,0.351445,0.124663,0.128573,1.874146,17.467891,4.374480,415.592213
8200,2,0.000298,2.437187,-0.323867,1.450659,0.064077,-0.775895,1.432783,0.017875,0.351250,0.130391,0.123261,1.829785,14.540452,4.374539,415.205668
8300,2,0.000298,2.546094,-0.320664,1.451543,0.064075,-0.769446,1.432607,0.018937,0.348867,0.136182,0.122385,1.871795,39.658457,4.374929,414.787685
8400,2,0.000298,2.688438,-0.310684,1.446732,0.064204,-0.749598,1.427601,0.019131,0.350078,0.137725,0.126035,1.878940,41.691822,4.375163,414.384594
