step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
3600,0,0.000300,0.236572,-0.057148,1.958134,0.006786,-0.697607,1.847322,0.110812,0.236484,0.064790,0.092915,2.676940,0.629357,4.791951,395.037403,11.020327
3700,0,0.000300,0.243438,-0.054838,1.988508,0.007247,-0.679576,1.852856,0.135653,0.227539,0.072173,0.092077,2.691307,2.055481,4.808987,393.291451,11.074279
3800,0,0.000300,0.243876,-0.053267,1.980957,0.007871,-0.670003,1.853046,0.127911,0.218281,0.074111,0.090958,2.743336,1.124000,4.823332,391.776157,11.113322
3900,0,0.000300,0.241054,-0.055347,1.976010,0.007289,-0.684450,1.853103,0.122907,0.224102,0.086875,0.091152,2.694173,0.904892,4.836759,390.343997,11.813906
4000,1,0.000300,0.238551,-0.057904,1.976368,0.006599,-0.702795,1.850381,0.125987,0.214766,0.070562,0.088536,2.740017,1.135625,4.802840,392.753702,12.984274
4000,0.005494,0.005814,0.007550,-0.060434,0.006292,-0.723833,0.068100,0.247070,0.127239,2.820345,0.063725,0.090567,12.569896
4100,1,0.000300,0.240834,-0.055488,1.975486,0.007233,-0.686263,1.853159,0.122326,0.220234,0.067544,0.087906,2.764086,0.593448,4.811861,391.671064,13.022957
4200,1,0.000300,0.241893,-0.053925,1.972119,0.007431,-0.672531,1.848308,0.123811,0.223516,0.076157,0.089823,2.756960,0.340360,4.823685,390.365457,12.900536
4300,1,0.000300,0.242086,-0.054064,1.974331,0.007493,-0.674272,1.850132,0.124199,0.218359,0.066738,0.088868,2.850663,0.299238,4.832196,389.333018,12.531716
4400,1,0.000300,0.242321,-0.053455,1.971840,0.007498,-0.668816,1.848246,0.123594,0.220430,0.063401,0.089041,2.891148,0.279076,4.844628,387.989912,12.957497
4500,1,0.000300,0.240871,-0.055177,1.973656,0.007604,-0.685839,1.850396,0.123260,0.215586,0.063958,0.088712,2.918914,0.260620,4.856213,386.721091,13.342054
