step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
3800,0,0.000300,0.391797,-0.312744,1.408924,0.064209,-0.754330,1.400053,0.008871,0.369141,0.122632,0.145324,1.484707,1.818002,4.589553,411.732198
3900,0,0.000300,0.388418,-0.314395,1.405596,0.064131,-0.757155,1.397281,0.008315,0.372109,0.129722,0.146344,1.506104,1.937308,4.589486,411.375082
4000,1,0.000300,0.398203,-0.306172,1.408440,0.064341,-0.740730,1.401319,0.007121,0.369258,0.131899,0.141712,1.498245,1.796935,4.585518,411.367542
4000,0.002674,0.003574,0.004451,-0.382257,0.003589,-0.771692,0.066653,0.356934,0.009916,1.442331,0.139477,0.133204
4100,1,0.000300,0.391797,-0.311602,1.406822,0.064272,-0.751863,1.399788,0.007035,0.370977,0.125894,0.135361,1.499219,1.847130,4.582617,411.264259
4200,1,0.000300,0.392734,-0.310937,1.406910,0.064343,-0.750486,1.399085,0.007825,0.371836,0.135796,0.137839,1.486402,1.849620,4.582791,410.885006
4300,1,0.000300,0.382949,-0.318105,1.402063,0.064097,-0.764277,1.393935,0.008127,0.378203,0.127666,0.138277,1.527106,1.812391,4.583220,410.482920
4400,1,0.000300,0.384980,-0.319629,1.409127,0.064119,-0.767550,1.400921,0.008206,0.366250,0.121035,0.136035,1.555731,1.770252,4.583153,410.125235
4500,1,0.000300,0.380527,-0.319004,1.399163,0.064121,-0.766274,1.391134,0.008029,0.377383,0.134297,0.134847,1.530926,1.773347,4.583424,409.737359
4600,1,0.000300,0.386094,-0.315039,1.402582,0.064263,-0.758622,1.393898,0.008684,0.373320,0.141367,0.135737,1.528829,1.948975,4.583076,409.404832
4700,1,0.000300,0.388242,-0.310469,1.397796,0.064268,-0.749519,1.389435,0.008362,0.375156,0.144048,0.143341,1.510220,1.851025,4.583750,408.980992
4800,1,0.000300,0.380937,-0.320547,1.402952,0.064077,-0.769643,1.394036,0.008917,0.372617,0.134492,0.135470,1.480099,1.942612,4.584310,408.567442
4900,1,0.000300,0.386289,-0.315000,1.402821,0.064199,-0.758353,1.395914,0.006907,0.368242,0.145176,0.128678,1.488357,1.631070,4.584919,408.149667
5000,1,0.000300,0.391191,-0.313887,1.410155,0.064248,-0.756260,1.401543,0.008612,0.367773,0.130371,0.133427,1.517199,1.842106,4.585036,407.775796
5100,1,0.000299,0.388906,-0.312432,1.402561,0.064131,-0.753102,1.394815,0.007745,0.374336,0.134019,0.134217,1.520670,1.801455,4.584134,407.492422
5200,1,0.000299,0.389199,-0.311553,1.401522,0.064307,-0.751989,1.393499,0.008023,0.376797,0.138701,0.132361,1.510664,1.756392,4.584784,407.071160
5300,1,0.000299,0.383711,-0.318789,1.405342,0.064180,-0.765876,1.397507,0.007836,0.372734,0.142612,0.132101,1.505149,1.718032,4.585337,406.658631
5400,1,0.000299,0.381602,-0.318193,1.399557,0.064087,-0.764567,1.391843,0.007714,0.371406,0.149878,0.129071,1.483159,1.722437,4.585387,406.290640
5500,1,0.000299,0.383574,-0.315752,1.398669,0.064277,-0.760058,1.390870,0.007799,0.375312,0.141919,0.134786,1.562999,1.919296,4.585895,405.882249
5600,1,0.000299,0.387461,-0.316006,1.406502,0.064141,-0.760430,1.398224,0.008279,0.375625,0.136924,0.131637,1.568736,1.702599,4.586490,405.466229
5700,1,0.000299,0.380742,-0.317969,1.397568,0.064131,-0.764350,1.390699,0.006869,0.376484,0.137764,0.133554,1.566500,1.545565,4.586252,405.123863
5800,1,0.000299,0.380898,-0.316426,1.394820,0.064207,-0.761061,1.387838,0.006982,0.379531,0.128774,0.132845,1.614992,1.755352,4.586370,404.749988
5900,1,0.000299,0.380605,-0.318262,1.397674,0.064194,-0.764767,1.391079,0.006595,0.379023,0.133228,0.127992,1.585224,1.544096,4.586867,404.342807
6000,1,0.000299,0.378145,-0.320605,1.397557,0.064045,-0.769452,1.390285,0.007272,0.373359,0.131899,0.130744,1.516707,1.625934,4.587425,403.930291
