step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
3800,0,0.000300,2.996250,-0.307207,1.447615,0.064441,-0.743101,1.431293,0.016322,0.352344,0.073533,0.139700,3.369076,13.832924,4.592792,411.441834
3900,0,0.000300,3.061094,-0.306885,1.465588,0.064263,-0.742339,1.446863,0.018726,0.346055,0.083286,0.137288,3.370866,23.804731,4.593221,411.040505
4000,1,0.000300,3.033125,-0.307285,1.470235,0.064482,-0.743867,1.451214,0.019020,0.345547,0.076477,0.140227,3.379542,10.882659,4.589695,410.993211
4000,0.003632,0.004002,0.004841,-0.371572,0.004221,-0.751588,0.065119,0.341309,0.022591,3.451282,0.060362,0.154277
4100,1,0.000300,2.985625,-0.309570,1.469045,0.064468,-0.748303,1.451404,0.017640,0.343555,0.080193,0.138183,3.382727,12.580089,4.588089,410.773755
4200,1,0.000300,2.932500,-0.307832,1.464774,0.064478,-0.744775,1.446626,0.018148,0.349023,0.072329,0.137123,3.398542,13.224858,4.588423,410.380646
4300,1,0.000300,2.929688,-0.308389,1.464107,0.064346,-0.745371,1.445333,0.018774,0.347031,0.087832,0.130648,3.391235,27.948430,4.589053,409.961121
4400,1,0.000300,2.957031,-0.308750,1.469912,0.064258,-0.745967,1.450395,0.019517,0.343438,0.084761,0.133076,3.392520,78.121508,4.589137,409.590480
4500,1,0.000300,2.925469,-0.306895,1.461246,0.064277,-0.742301,1.443130,0.018116,0.347617,0.074507,0.136687,3.376410,130.057886,4.589640,409.182401
4600,1,0.000300,3.016250,-0.312949,1.458576,0.064331,-0.754732,1.443130,0.015446,0.351289,0.075649,0.138647,3.404227,16.496932,4.590169,408.772165
4700,1,0.000300,2.936875,-0.312031,1.463486,0.064385,-0.753035,1.443750,0.019736,0.346211,0.082451,0.137957,3.379494,114.369593,4.590784,408.354358
4800,1,0.000300,3.012656,-0.314473,1.459419,0.064170,-0.757257,1.440491,0.018928,0.349102,0.077454,0.132407,3.406581,23.455558,4.590972,407.974570
4900,1,0.000300,2.937344,-0.314473,1.463150,0.064360,-0.757152,1.443234,0.019916,0.349570,0.083140,0.135877,3.397093,14.829378,4.591416,407.572189
5000,1,0.000300,2.910938,-0.303389,1.475497,0.064434,-0.735496,1.450591,0.024906,0.339297,0.077900,0.136041,3.417342,42.755647,4.591739,407.180556
5100,1,0.000299,2.911094,-0.303223,1.474695,0.064404,-0.735360,1.451094,0.023601,0.343789,0.080115,0.136107,3.440138,440.787811,4.590411,406.935228
5200,1,0.000299,2.944844,-0.303750,1.472785,0.064517,-0.736554,1.448673,0.024112,0.349531,0.079880,0.136897,3.351961,16.075831,4.591073,406.513551
5300,1,0.000299,2.905312,-0.306016,1.476135,0.064370,-0.740826,1.456351,0.019784,0.341445,0.078335,0.137770,3.425930,24.312280,4.591042,406.153260
5400,1,0.000299,2.887969,-0.309209,1.463087,0.064204,-0.746941,1.441926,0.021162,0.347539,0.076416,0.138399,3.376170,15.479325,4.591801,405.723145
5500,1,0.000299,2.852344,-0.310410,1.456790,0.064351,-0.749609,1.438143,0.018647,0.350742,0.079663,0.136488,3.376519,84.407456,4.592080,405.335556
5600,1,0.000299,2.817500,-0.312129,1.462246,0.064270,-0.752831,1.445254,0.016992,0.344961,0.081123,0.136647,3.366669,20.489200,4.592603,404.926511
5700,1,0.000299,2.786250,-0.314004,1.446751,0.064292,-0.756507,1.433588,0.013163,0.351172,0.077419,0.134257,3.412042,61.643736,4.592758,404.549955
5800,1,0.000299,2.806250,-0.309395,1.447823,0.064258,-0.747140,1.432077,0.015746,0.353555,0.076602,0.135390,3.419591,21.103888,4.593416,404.129186
5900,1,0.000299,2.789375,-0.311504,1.454912,0.064204,-0.751599,1.438701,0.016211,0.351719,0.087012,0.135639,3.367359,34.142082,4.593837,403.729293
6000,1,0.000299,2.765625,-0.316309,1.455717,0.064165,-0.761101,1.437885,0.017832,0.353164,0.078069,0.131410,3.381214,49.373154,4.594321,403.324045
6000,0.003523,0.004125,0.005295,-0.372926,0.004297,-0.754445,0.065880,0.339844,0.011815,3.412159,0.059717,0.127418
6100,1,0.000299,2.784219,-0.313271,1.455066,0.064136,-0.755170,1.437508,0.017559,0.353750,0.074705,0.128982,3.414875,25.624533,4.592843,403.090938
6200,1,0.000299,2.819062,-0.312510,1.462357,0.064280,-0.753637,1.439952,0.022405,0.349336,0.079873,0.133068,3.429892,34.173549,4.593401,402.679129
6300,1,0.000299,3.018438,-0.312236,1.462643,0.064243,-0.753005,1.444774,0.017869,0.349766,0.064380,0.136657,3.448169,11.302485,4.593835,402.278306
6400,1,0.000299,2.922031,-0.315596,1.457805,0.064160,-0.759539,1.443108,0.014697,0.351445,0.069268,0.132372,3.482320,23.413461,4.594461,401.860667
6500,1,0.000299,2.861406,-0.310840,1.452817,0.064243,-0.750173,1.435777,0.017040,0.352812,0.070117,0.132172,3.456489,28.403790,4.594586,401.487037
6600,1,0.000299,2.818281,-0.318867,1.459705,0.064102,-0.765904,1.444021,0.015685,0.347695,0.064087,0.131331,3.471768,37.031482,4.595151,401.074972
6700,1,0.000299,2.905781,-0.316484,1.451660,0.064087,-0.761231,1.435403,0.016257,0.351797,0.074773,0.128280,3.455620,9.979276,4.595333,400.696361
6800,1,0.000299,2.829375,-0.306182,1.454226,0.064248,-0.740728,1.436870,0.017357,0.357383,0.072480,0.132758,3.507364,38.736302,4.595949,400.280049
6900,1,0.000299,2.692344,-0.310352,1.458760,0.064380,-0.749484,1.439457,0.019303,0.351445,0.072375,0.135861,3.544648,27.718157,4.596071,399.906806
7000,1,0.000299,2.688281,-0.311729,1.443116,0.064243,-0.752040,1.428304,0.014811,0.350977,0.068262,0.132029,3.532814,35.856702,4.596670,399.492098
7100,1,0.000299,2.662031,-0.316279,1.453452,0.064229,-0.761062,1.439074,0.014378,0.351055,0.067097,0.130490,3.526468,25.363432,4.597251,399.079106
7200,1,0.000298,2.673594,-0.316504,1.449750,0.064058,-0.761276,1.434490,0.015260,0.351992,0.069863,0.129182,3.552679,14.570485,4.597842,398.665302
7300,1,0.000298,2.657344,-0.314678,1.458453,0.064109,-0.757533,1.442254,0.016198,0.348086,0.071570,0.128223,3.578512,41.144912,4.597951,398.293387
7400,1,0.000298,2.653750,-0.311631,1.444206,0.064341,-0.751902,1.431157,0.013050,0.358477,0.077808,0.128550,3.544747,25.455079,4.598397,397.892242
7500,1,0.000298,2.607656,-0.315215,1.447127,0.064189,-0.758879,1.431529,0.015597,0.353086,0.068396,0.131333,3.543974,21.162045,4.598953,397.481812
7600,1,0.000298,2.834062,-0.312900,1.446864,0.064292,-0.754235,1.431165,0.015699,0.357930,0.070698,0.129327,3.567519,134.644178,4.599183,397.099516
7700,1,0.000298,2.672344,-0.315137,1.447636,0.064316,-0.758889,1.431676,0.015960,0.356445,0.070278,0.124196,3.545035,53.922503,4.599289,396.727995
7800,1,0.000298,2.671094,-0.315703,1.445725,0.064119,-0.759927,1.429466,0.016258,0.350313,0.076592,0.125962,3.543517,103.471983,4.599816,396.320162
7900,2,0.000298,2.570469,-0.309043,1.448019,0.064307,-0.746717,1.433107,0.014912,0.351797,0.074380,0.132483,3.543679,34.061428,4.597961,396.117610
8000,2,0.000298,2.634219,-0.315537,1.454132,0.064238,-0.759480,1.437115,0.017016,0.352539,0.076230,0.127762,3.542482,39.828591,4.598173,395.736922
