step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
3600,0,0.000300,0.790814,-0.068345,1.718316,0.005037,-0.733811,1.712947,0.005369,0.292148,0.056299,0.096873,2.939871,1.158564,11.138339,169.953528,47.267190
3700,0,0.000300,0.790052,-0.068755,1.717615,0.004892,-0.736469,1.711724,0.005890,0.298320,0.066482,0.095030,2.903308,1.125746,11.153221,169.577325,48.606529
3800,0,0.000300,0.792639,-0.067830,1.720938,0.005041,-0.728707,1.714391,0.006546,0.286914,0.060190,0.098815,3.103874,1.212173,11.164890,169.250811,49.563754
3900,0,0.000300,0.790661,-0.068597,1.718516,0.004930,-0.735271,1.713042,0.005474,0.297109,0.058174,0.096785,3.220601,1.103974,11.176212,168.930219,52.767165
4000,1,0.000300,0.784438,-0.069403,1.707681,0.004843,-0.742458,1.701486,0.006195,0.299922,0.055361,0.096676,3.187199,1.204934,11.145211,169.250570,54.689244
4000,0.003701,0.004048,0.004620,-0.069016,0.004116,-0.731319,0.066620,0.310059,0.007708,3.278194,0.039478,0.105948,52.070327
4100,1,0.000300,0.791582,-0.068254,1.719671,0.004908,-0.731617,1.713989,0.005682,0.291172,0.055291,0.098155,3.433948,1.098821,11.148040,169.058119,56.317819
4200,1,0.000300,0.787348,-0.068535,1.711766,0.004969,-0.735042,1.706416,0.005350,0.301641,0.059172,0.100067,3.757285,1.130697,11.155808,168.790996,56.810535
4300,1,0.000300,0.787516,-0.068497,1.712025,0.004960,-0.734568,1.706208,0.005817,0.301563,0.050969,0.101871,3.877078,1.131657,11.153482,168.676766,57.269505
4400,1,0.000300,0.788214,-0.067413,1.711254,0.005089,-0.725025,1.706098,0.005155,0.302227,0.051653,0.101762,4.000567,1.109151,11.160148,168.426683,58.339855
4500,1,0.000300,0.785671,-0.067724,1.706789,0.005129,-0.728532,1.700928,0.005861,0.299961,0.053369,0.103390,4.045011,1.066242,11.159987,168.279773,58.699259
4600,1,0.000300,0.784657,-0.067051,1.703416,0.005110,-0.721611,1.698346,0.005070,0.303242,0.057488,0.104706,3.987317,1.067194,11.156172,168.187921,59.295846
4700,1,0.000300,0.783504,-0.067812,1.702633,0.005131,-0.729436,1.697766,0.004866,0.309219,0.053916,0.104398,3.818710,1.082788,11.159333,167.990925,59.493149
4800,1,0.000300,0.784277,-0.068359,1.705271,0.005007,-0.733657,1.700102,0.005170,0.302266,0.060146,0.106008,3.714992,1.063857,11.165472,167.749283,59.709765
4900,1,0.000300,0.785341,-0.067631,1.705945,0.005119,-0.727506,1.700063,0.005883,0.303594,0.060247,0.109030,3.567670,1.098703,11.175534,167.449127,59.863699
5000,1,0.000300,0.787235,-0.067906,1.710282,0.004999,-0.729051,1.704213,0.006070,0.303281,0.055732,0.111885,3.480484,1.064023,11.174994,167.308072,60.029320
5100,1,0.000299,0.781475,-0.068123,1.699195,0.004979,-0.731020,1.693767,0.005429,0.308125,0.064443,0.116025,3.390876,1.097933,11.183013,167.039069,60.005112
5200,1,0.000299,0.783648,-0.068998,1.705291,0.004936,-0.739339,1.700325,0.004966,0.302070,0.071438,0.115367,3.346921,1.129945,11.181425,166.913725,60.057630
5300,1,0.000299,0.783331,-0.067801,1.702263,0.004904,-0.727055,1.696675,0.005588,0.303477,0.068845,0.120517,3.272711,1.090318,11.193040,166.591613,60.049119
5400,1,0.000299,0.784189,-0.068504,1.705387,0.004806,-0.733102,1.700479,0.004908,0.300078,0.048787,0.126032,3.260099,1.100702,11.197577,166.375285,60.035014
5500,1,0.000299,0.779812,-0.069065,1.697754,0.004831,-0.738959,1.692707,0.005047,0.306602,0.046123,0.131223,3.263900,1.099837,11.206759,166.090240,60.149744
5600,1,0.000299,0.781903,-0.069106,1.702019,0.004730,-0.738367,1.697501,0.004518,0.302500,0.056299,0.129427,3.215842,1.019478,11.215763,165.808300,60.179288
5700,1,0.000299,0.779331,-0.068435,1.695532,0.004642,-0.730767,1.690933,0.004599,0.310000,0.057036,0.129507,3.173928,1.044451,11.218879,165.613694,60.168438
5800,1,0.000299,0.778870,-0.069335,1.696409,0.004614,-0.739488,1.692059,0.004350,0.304063,0.045427,0.133865,3.190110,1.003171,11.217669,165.482989,60.207871
5900,1,0.000299,0.779966,-0.068482,1.696896,0.004656,-0.731380,1.692102,0.004793,0.309688,0.049070,0.138071,3.141495,0.991808,11.226604,165.202819,60.217850
6000,1,0.000299,0.780240,-0.069229,1.698937,0.004699,-0.739273,1.694487,0.004451,0.309805,0.051907,0.135141,3.124069,1.033742,11.231743,164.978846,60.239478
6000,0.003590,0.003701,0.004272,-0.071345,0.003852,-0.751969,0.066649,0.303711,0.006666,3.091982,0.049856,0.136829,60.608971
6100,1,0.000299,0.776523,-0.070000,1.693046,0.004597,-0.745971,1.688333,0.004714,0.306836,0.052100,0.132313,3.128557,1.074722,11.230917,164.842573,60.235344
6200,1,0.000299,0.778603,-0.069139,1.695485,0.004685,-0.738240,1.690630,0.004855,0.305469,0.054209,0.136777,3.092282,0.996737,11.241092,164.545106,60.266432
6300,1,0.000299,0.774317,-0.070794,1.690222,0.004537,-0.753313,1.685783,0.004440,0.311406,0.050056,0.138294,3.125943,1.032726,11.239516,164.419887,60.396393
6400,1,0.000299,0.776068,-0.069928,1.691992,0.004534,-0.744618,1.687210,0.004782,0.311680,0.055496,0.141517,3.091002,1.110070,11.242850,164.222886,60.389636
6500,1,0.000299,0.775090,-0.069200,1.688580,0.004630,-0.738307,1.684007,0.004573,0.311836,0.053472,0.146050,3.081515,1.020209,11.248577,163.991119,60.457000
6600,1,0.000299,0.778677,-0.069221,1.695797,0.004595,-0.738161,1.691166,0.004631,0.308164,0.054141,0.145808,3.093850,1.033583,11.251319,163.803020,60.557050
6700,1,0.000299,0.780787,-0.069584,1.700743,0.004494,-0.740784,1.695956,0.004787,0.308125,0.049082,0.141774,3.135214,1.010549,11.252793,163.633447,60.548642
6800,1,0.000299,0.777402,-0.070309,1.695422,0.004496,-0.748048,1.690789,0.004633,0.309297,0.043330,0.144400,3.110283,0.984395,11.258254,163.406034,60.597945
6900,1,0.000299,0.773499,-0.069966,1.686930,0.004530,-0.744961,1.682530,0.004400,0.308516,0.034818,0.150160,3.120585,1.022531,11.265088,163.158963,60.532951
7000,1,0.000299,0.775003,-0.069418,1.688842,0.004476,-0.738934,1.684451,0.004391,0.309414,0.040339,0.149382,3.122954,0.991350,11.268184,162.966216,60.672831
7100,1,0.000299,0.776623,-0.069719,1.692684,0.004509,-0.742278,1.688185,0.004499,0.312305,0.038264,0.147703,3.107182,1.050666,11.276079,162.704313,60.692290
7200,1,0.000298,0.774131,-0.070258,1.688778,0.004470,-0.747282,1.684486,0.004293,0.309766,0.039492,0.149881,3.099391,1.045137,11.280880,162.487331,60.610884
7300,1,0.000298,0.774385,-0.070493,1.689755,0.004482,-0.749741,1.685252,0.004503,0.311367,0.042456,0.145873,3.103860,1.027521,11.285199,162.277451,60.518258
7400,1,0.000298,0.770819,-0.069982,1.681603,0.004470,-0.744519,1.677635,0.003968,0.316836,0.040342,0.146180,3.113982,0.949076,11.287258,162.100191,60.542394
7500,1,0.000298,0.776175,-0.068992,1.690334,0.004444,-0.734360,1.686175,0.004160,0.312383,0.034255,0.148311,3.118016,0.973731,11.284565,161.991178,60.635922
7600,1,0.000298,0.775151,-0.069562,1.689427,0.004401,-0.739631,1.685478,0.003949,0.312578,0.033138,0.147397,3.100174,0.960728,11.281692,161.884706,60.660714
7700,1,0.000298,0.773208,-0.070555,1.687526,0.004437,-0.749922,1.683504,0.004021,0.314609,0.034158,0.142943,3.103951,1.018730,11.280801,161.749739,60.619194
7800,1,0.000298,0.772021,-0.069208,1.682459,0.004404,-0.736123,1.677940,0.004520,0.315977,0.034833,0.141581,3.085713,0.972547,11.285243,161.538388,60.649118
