step,epoch,lr,loss,nll,crps,steps/s,eta_min
200,0,0.000119,-0.250976,-0.378838,0.070510,0.617839,626.808529
400,0,0.000239,-0.539826,-0.663119,0.067820,0.752797,510.009218
