step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
3500,0,0.000300,-1.961978,-1.903156,0.354449,0.024616,-1.915464,0.232985,0.052079,0.921719,0.002836,0.031900,1.000000,87.700406,23.050848,41.560293,3.055143
3600,0,0.000299,-1.990496,-1.906120,0.363483,0.024697,-1.918469,0.244765,0.049388,0.918281,0.002760,0.031738,1.000000,95.000245,23.071804,41.450306,3.004915
3700,0,0.000299,-1.984934,-1.890931,0.357700,0.025620,-1.903741,0.237925,0.050415,0.918047,0.003023,0.031968,1.000000,105.549310,23.090015,41.345433,3.011092
3800,0,0.000299,-1.990930,-1.897764,0.372863,0.025211,-1.910369,0.254521,0.048933,0.917383,0.002655,0.030963,1.000000,106.804260,23.108230,41.240719,2.902491
3900,0,0.000299,-1.958361,-1.868145,0.362190,0.025865,-1.881078,0.243422,0.049463,0.916289,0.003123,0.030307,1.000000,111.766815,23.128562,41.132404,2.931049
4000,0,0.000299,-2.012600,-1.888987,0.358782,0.025610,-1.901792,0.223956,0.065392,0.923086,0.003043,0.032793,1.000000,115.012501,23.144636,41.031825,3.093372
4000,-1.720524,-1.735877,0.030706,0.025631,0.840332,0.528320,1.000000,0.000544,0.034792,2.115258
4100,0,0.000299,-1.984360,-1.891133,0.372793,0.025197,-1.903732,0.239694,0.063688,0.916602,0.002866,0.031697,1.000000,114.214913,23.091873,41.053405,2.898046
4200,0,0.000299,-2.012692,-1.901209,0.337770,0.025486,-1.913952,0.226273,0.042149,0.922969,0.002697,0.030495,1.000000,105.763039,23.111186,40.946982,2.863810
4300,0,0.000299,-1.949424,-1.900627,0.351170,0.025246,-1.913250,0.235347,0.046339,0.921367,0.002592,0.030990,1.000000,89.374180,23.125862,40.848928,3.032714
4400,0,0.000299,-2.034411,-1.892804,0.348384,0.025549,-1.905579,0.224295,0.054806,0.922539,0.003394,0.030867,1.000000,103.407500,23.149248,40.735664,2.927623
4500,0,0.000299,-2.069231,-1.912776,0.350874,0.024872,-1.925212,0.224593,0.057006,0.923477,0.002537,0.031226,1.000000,104.043267,23.164891,40.636209,3.001457
4600,0,0.000299,-2.012418,-1.902742,0.361625,0.025096,-1.915290,0.229165,0.063227,0.922344,0.003143,0.030928,1.000000,119.980534,23.177147,40.542809,2.890174
4700,0,0.000298,-2.082754,-1.915807,0.354986,0.024873,-1.928243,0.229684,0.056099,0.921641,0.002765,0.030972,1.000000,81.483399,23.191044,40.446648,2.996323
4800,0,0.000298,-2.045454,-1.912220,0.381208,0.025301,-1.924871,0.239786,0.072108,0.919023,0.002750,0.031608,1.000000,99.227555,23.211047,40.339987,3.080181
4900,0,0.000298,-2.057759,-1.899457,0.406630,0.024798,-1.911855,0.254895,0.082400,0.913281,0.003033,0.030459,1.000000,99.885874,23.223163,40.247173,2.934750
5000,0,0.000298,-1.967569,-1.884107,0.368122,0.025531,-1.896873,0.239925,0.058786,0.919609,0.002944,0.030577,1.000000,96.788620,23.234655,40.155535,2.989922
5100,0,0.000298,-2.058878,-1.921201,0.378013,0.024769,-1.933585,0.253292,0.055443,0.915039,0.002920,0.031144,1.000000,72.834253,23.211247,40.124227,3.182757
5200,0,0.000298,-2.107669,-1.914349,0.370730,0.024949,-1.926823,0.247363,0.053943,0.916328,0.002524,0.031328,1.000000,85.853840,23.222472,40.033061,3.129684
5300,0,0.000298,-2.114404,-1.913329,0.365155,0.025273,-1.925965,0.245837,0.050004,0.915039,0.003000,0.031035,1.000000,76.605570,23.233352,39.942580,2.946278
5400,0,0.000298,-2.026962,-1.908302,0.415806,0.025391,-1.920998,0.273373,0.072925,0.907188,0.002695,0.032731,1.000000,82.235532,23.241790,39.856368,3.319106
5500,0,0.000297,-2.131219,-1.920993,0.380890,0.024539,-1.933262,0.252621,0.058834,0.914062,0.002472,0.031421,1.000000,77.831810,23.249059,39.772220,3.096069
5600,0,0.000297,-2.129689,-1.917747,0.389148,0.025152,-1.930323,0.266655,0.053109,0.909141,0.002493,0.030976,1.000000,85.914996,23.255932,39.688799,2.989192
5700,0,0.000297,-2.136032,-1.932717,0.396709,0.024953,-1.945193,0.272448,0.054814,0.906563,0.002189,0.030060,1.000000,79.610241,23.267493,39.597447,3.016070
5800,0,0.000297,-2.142726,-1.905141,0.381915,0.025076,-1.917679,0.264331,0.048125,0.909062,0.002901,0.031711,1.000000,70.278096,23.276535,39.510462,3.135931
5900,0,0.000297,-2.172144,-1.919431,0.391032,0.024634,-1.931748,0.271118,0.050607,0.909336,0.002754,0.030232,1.000000,73.675729,23.288127,39.419228,3.050580
6000,0,0.000297,-2.162679,-1.912943,0.373418,0.025201,-1.925543,0.245672,0.058373,0.915508,0.003090,0.030775,1.000000,63.096171,23.300388,39.326956,3.006379
6000,-1.733869,-1.749180,0.030622,0.021440,0.936035,0.541016,1.000000,0.002064,0.040544,2.476846
6100,1,0.000296,-2.060510,-1.899874,0.384135,0.025351,-1.912550,0.246902,0.067987,0.915859,0.002735,0.031095,1.000000,61.790246,23.218086,39.394576,3.054597
6200,1,0.000296,-2.167904,-1.926299,0.358775,0.025100,-1.938849,0.244778,0.044762,0.917148,0.003305,0.031415,1.000000,66.611662,23.227032,39.307648,3.048279
6300,1,0.000296,-2.103791,-1.915142,0.370720,0.025045,-1.927664,0.240526,0.060909,0.916641,0.002985,0.030956,1.000000,65.250958,23.235633,39.221369,3.139740
6400,1,0.000296,-2.128795,-1.891050,0.362532,0.025310,-1.903705,0.233148,0.060189,0.916914,0.003345,0.030853,1.000000,89.924679,23.242788,39.137589,2.943078
6500,1,0.000296,-2.222829,-1.919947,0.370996,0.025281,-1.932587,0.243499,0.058094,0.914883,0.002948,0.030513,1.000000,86.068594,23.252885,39.048918,2.868784
6600,1,0.000296,-2.234916,-1.917624,0.335891,0.025209,-1.930229,0.223282,0.043277,0.921094,0.002312,0.030964,1.000000,67.669527,23.259545,38.966083,2.963900
6700,1,0.000295,-2.194661,-1.920185,0.367065,0.025007,-1.932689,0.241380,0.056295,0.918047,0.002286,0.030403,1.000000,63.507277,23.265360,38.884706,3.094018
6800,1,0.000295,-2.265471,-1.927167,0.356975,0.025047,-1.939690,0.223286,0.064275,0.923047,0.002235,0.030839,1.000000,59.462764,23.270380,38.804695,3.131100
6900,1,0.000295,-2.234535,-1.937541,0.339383,0.024677,-1.949880,0.219623,0.050501,0.922109,0.002496,0.031412,1.000000,60.349851,23.279331,38.718180,3.281733
7000,1,0.000295,-2.128634,-1.916196,0.347029,0.025334,-1.928863,0.214771,0.062996,0.927148,0.002717,0.031226,1.000000,58.564597,23.286047,38.635439,3.076121
7100,1,0.000295,-2.162065,-1.915188,0.327358,0.025329,-1.927852,0.211126,0.046851,0.925586,0.002379,0.030815,1.000000,69.621812,23.292662,38.552915,3.056586
7200,1,0.000294,-2.195425,-1.932532,0.326644,0.024912,-1.944987,0.208468,0.048904,0.929805,0.002399,0.031339,1.000000,58.238637,23.299922,38.469371,3.234650
7300,1,0.000294,-2.274877,-1.937413,0.317120,0.024891,-1.949858,0.198981,0.048787,0.932148,0.002274,0.031496,1.000000,61.029679,23.310802,38.379918,3.189691
7400,1,0.000294,-2.334630,-1.932769,0.326749,0.024854,-1.945196,0.202026,0.055393,0.931016,0.002440,0.031595,1.000000,60.372041,23.318373,38.295983,3.213571
7500,1,0.000294,-2.313494,-1.929706,0.333064,0.024658,-1.942035,0.218708,0.045076,0.924766,0.002548,0.031178,1.000000,61.944030,23.328081,38.208601,3.239122
7600,1,0.000293,-2.330566,-1.921710,0.320965,0.025181,-1.934300,0.210038,0.041614,0.924961,0.002539,0.032044,1.000000,61.755126,23.335696,38.124711,3.338218
7700,1,0.000293,-2.287374,-1.908527,0.310939,0.025122,-1.921088,0.195015,0.046646,0.933945,0.002703,0.031771,1.000000,67.319377,23.341560,38.043731,3.142736
7800,1,0.000293,-2.336195,-1.925022,0.340685,0.024881,-1.937462,0.213507,0.057826,0.927539,0.002384,0.032057,1.000000,51.012272,23.347955,37.961926,3.336876
7900,1,0.000293,-2.296453,-1.926063,0.326932,0.025076,-1.938601,0.197566,0.060008,0.931680,0.002884,0.030879,1.000000,76.421708,23.352327,37.883449,3.259473
8000,1,0.000292,-2.349776,-1.922032,0.318169,0.024930,-1.934497,0.206726,0.041988,0.928125,0.002513,0.030444,1.000000,61.508149,23.356631,37.805109,3.122964
8000,-1.707996,-1.723294,0.030596,0.014134,0.962891,0.516602,1.000000,0.004036,0.035008,2.615912
8100,1,0.000292,-2.396517,-1.934912,0.328420,0.024847,-1.947335,0.205266,0.053816,0.929648,0.002096,0.032117,1.000000,55.451419,23.345118,37.752361,3.326380
8200,1,0.000292,-2.350991,-1.919007,0.334482,0.025523,-1.931769,0.211835,0.053472,0.926523,0.002272,0.031530,1.000000,53.993735,23.350568,37.672174,3.319115
8300,1,0.000292,-2.397058,-1.928988,0.325234,0.024872,-1.941424,0.208275,0.047633,0.929219,0.002674,0.030699,1.000000,61.730028,23.355011,37.593645,3.166487
8400,1,0.000291,-2.416047,-1.928316,0.333707,0.024836,-1.940734,0.212258,0.052295,0.926445,0.003053,0.030259,1.000000,51.911349,23.359947,37.514354,3.107958
8500,1,0.000291,-2.442109,-1.938039,0.322664,0.024904,-1.950491,0.204970,0.048420,0.929141,0.002594,0.031282,1.000000,60.293271,23.365218,37.434560,3.106119
8600,1,0.000291,-2.434292,-1.929639,0.315311,0.025028,-1.942153,0.200145,0.045851,0.931445,0.002346,0.031757,1.000000,43.838616,23.372557,37.351498,3.427833
8700,1,0.000291,-2.459993,-1.930710,0.316484,0.025177,-1.943299,0.208185,0.039051,0.926172,0.002339,0.031170,1.000000,60.537170,23.377012,37.273083,3.205953
8800,1,0.000290,-2.461275,-1.942259,0.321210,0.024866,-1.954692,0.213338,0.038645,0.925156,0.002338,0.030191,1.000000,52.923737,23.381138,37.195225,3.125320
8900,1,0.000290,-2.468302,-1.939410,0.325370,0.024732,-1.951776,0.210826,0.045190,0.926719,0.002290,0.030036,1.000000,52.291034,23.385598,37.116862,3.270486
