step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
1400,3,0.000210,-8.330299,-0.712513,0.651918,0.071879,-0.762414,0.002393,0.649525,1.000000,0.016683,0.076356,1.000000,54.183218,10.990657,31.845231,2.325555,0.046539,0.010487
1450,3,0.000217,-8.462211,-0.707194,0.314459,0.071563,-0.755331,0.001567,0.312892,1.000000,0.015573,0.079594,1.000000,67.089486,11.004818,31.728527,2.321512,0.041187,0.009303
1500,3,0.000225,-8.271650,-0.712403,0.378676,0.071731,-0.761353,0.001664,0.377012,1.000000,0.015133,0.077251,1.000000,88.579599,11.018033,31.614838,2.282390,0.043614,0.009189
1550,3,0.000232,-8.948385,-0.718161,0.351927,0.070464,-0.763959,0.000832,0.351095,1.000000,0.016122,0.077101,1.000000,106.433740,11.030445,31.503715,2.297210,0.035219,0.009957
1600,3,0.000240,-9.415296,-0.707961,0.375077,0.072136,-0.758725,0.001185,0.373892,1.000000,0.016284,0.078505,1.000000,60.632589,11.041976,31.395348,2.326444,0.048985,0.009987
1650,3,0.000247,-9.223481,-0.713206,0.478261,0.071118,-0.760446,0.000845,0.477416,1.000000,0.017844,0.076521,1.000000,80.757616,11.052895,31.288938,2.352061,0.038938,0.009490
1700,3,0.000255,-9.397824,-0.705129,0.467459,0.072137,-0.754594,0.000748,0.466711,1.000000,0.017930,0.079697,1.000000,51.418983,11.063237,31.184362,2.305482,0.044656,0.010057
1750,3,0.000262,-7.243625,-0.708726,0.850058,0.071518,-0.758114,0.000553,0.849505,1.000000,0.016835,0.081045,1.000000,80.369054,11.073018,31.081559,2.327401,0.045431,0.009876
1800,4,0.000270,-8.994621,-0.707844,0.460205,0.071005,-0.754296,0.000921,0.459284,1.000000,0.015679,0.075603,1.000000,51.626744,11.062938,31.034552,2.343637,0.036497,0.007479
1850,4,0.000277,-8.218633,-0.715505,0.334962,0.070996,-0.762511,0.000853,0.334108,1.000000,0.015734,0.077272,1.000000,114.549355,11.072157,30.933449,2.330666,0.038359,0.009469
1900,4,0.000285,-8.054983,-0.723829,0.287470,0.070552,-0.772373,0.000962,0.286508,1.000000,0.016252,0.077823,1.000000,108.064359,11.080360,30.835340,2.376105,0.044227,0.009459
1950,4,0.000292,-9.008363,-0.697559,0.598261,0.073085,-0.748228,0.000794,0.597467,1.000000,0.015387,0.076924,1.000000,83.626938,11.088738,30.736891,2.229481,0.047087,0.008636
2000,4,0.000300,-9.068330,-0.706567,0.434721,0.071478,-0.754531,0.000154,0.434567,1.000000,0.016592,0.079451,1.000000,164.792552,11.096609,30.639991,2.307425,0.040750,0.009326
2050,4,0.000300,-9.163463,-0.717386,0.464350,0.071437,-0.766261,0.000160,0.464190,1.000000,0.016356,0.077225,1.000000,124.013084,11.080386,30.609643,2.303837,0.043852,0.009913
2100,4,0.000300,-9.214528,-0.700057,0.970810,0.072379,-0.749970,0.000176,0.970634,1.000000,0.013823,0.079360,1.000000,138.182904,11.087079,30.516002,2.346933,0.045748,0.008760
2150,4,0.000300,-9.643665,-0.714998,0.409946,0.071875,-0.765023,0.000141,0.409805,1.000000,0.017405,0.077114,1.000000,84.950270,11.094198,30.421307,2.260066,0.046958,0.010044
2200,4,0.000300,-8.904394,-0.712328,0.355499,0.070822,-0.759538,0.000051,0.355449,1.000000,0.016334,0.082765,1.000000,56.781364,11.101178,30.327112,2.350202,0.039329,0.009305
2250,5,0.000300,-7.389565,-0.707303,0.503976,0.071547,-0.755023,0.000127,0.503849,1.000000,0.015024,0.077111,1.000000,66.953774,11.090078,30.282324,2.329675,0.039820,0.007186
2300,5,0.000300,-9.083660,-0.711219,0.480593,0.071806,-0.760013,0.000060,0.480534,1.000000,0.016135,0.077976,1.000000,74.081342,11.096846,30.188757,2.315314,0.042972,0.010191
2350,5,0.000300,-9.382022,-0.715899,0.516660,0.071774,-0.766146,0.000044,0.516617,1.000000,0.016290,0.076671,1.000000,53.278069,11.103284,30.096202,2.307193,0.047867,0.009698
2400,5,0.000300,-7.793079,-0.699890,0.398630,0.072706,-0.751235,0.000050,0.398580,1.000000,0.015426,0.076112,1.000000,124.833782,11.109407,30.004601,2.273095,0.049972,0.009613
2450,5,0.000300,-9.546408,-0.726423,0.455056,0.070298,-0.773539,0.000044,0.455013,1.000000,0.018081,0.077295,1.000000,88.959637,11.115217,29.913946,2.343279,0.039890,0.010936
