step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
22050,49,0.000077,-10.901740,-0.742360,0.217517,0.070257,-0.789374,0.000001,0.217516,1.000000,0.017113,0.079277,1.000000,69.987014,3054.610526,0.246349,2.452087,0.039619,0.013652
22100,49,0.000077,-10.625612,-0.744281,0.390136,0.070045,-0.790043,0.000001,0.390135,1.000000,0.017643,0.079526,1.000000,265.609813,1890.089412,0.397688,2.451730,0.035799,0.013784
22150,49,0.000076,-11.054110,-0.740868,0.445769,0.070321,-0.788240,0.000000,0.445768,1.000000,0.018373,0.078873,1.000000,177.431306,1372.398144,0.547096,2.430989,0.040706,0.013286
22200,49,0.000076,-10.931061,-0.719636,0.316869,0.072172,-0.768599,0.000000,0.316869,1.000000,0.017358,0.080610,1.000000,181.853305,1077.949942,0.695765,2.422544,0.042923,0.012693
22250,49,0.000076,-10.865644,-0.739906,0.322120,0.070454,-0.788020,0.000000,0.322120,1.000000,0.015980,0.079115,1.000000,168.390833,888.167805,0.843497,2.459439,0.042954,0.011130
22300,49,0.000076,-11.102400,-0.739598,0.398239,0.070489,-0.787376,0.000000,0.398239,1.000000,0.016097,0.078990,1.000000,225.111563,755.954387,0.989919,2.438179,0.041777,0.011776
22350,49,0.000076,-10.812702,-0.724224,0.422782,0.071982,-0.775359,0.000000,0.422782,1.000000,0.017225,0.079836,1.000000,253.998494,658.160689,1.135741,2.389637,0.050481,0.012891
22400,49,0.000076,-10.486455,-0.736039,0.359085,0.070759,-0.784419,0.000000,0.359084,1.000000,0.017816,0.079840,1.000000,270.882178,583.242460,1.280199,2.388544,0.043334,0.013772
22450,50,0.000076,-10.870204,-0.726274,0.379201,0.071573,-0.775219,0.000000,0.379201,1.000000,0.018652,0.079059,1.000000,557.956406,518.872016,1.437413,2.403415,0.043863,0.014028
22500,50,0.000076,-10.981907,-0.739300,0.276946,0.070348,-0.786638,0.000000,0.276946,1.000000,0.016978,0.079728,1.000000,260.330261,471.416971,1.580342,2.435488,0.040549,0.012852
22550,50,0.000076,-10.871664,-0.734284,0.327424,0.071313,-0.783546,0.000000,0.327424,1.000000,0.017350,0.080146,1.000000,437.185942,432.145878,1.722027,2.437070,0.045352,0.011914
22600,50,0.000076,-10.692265,-0.735132,0.376483,0.070925,-0.783357,0.000000,0.376483,1.000000,0.016294,0.079780,1.000000,174.980699,399.001258,1.862985,2.400488,0.042542,0.012297
22650,50,0.000075,-10.740793,-0.738868,0.462705,0.070429,-0.785770,0.000000,0.462704,1.000000,0.016992,0.079630,1.000000,225.155678,370.724812,2.002833,2.429326,0.038960,0.012549
22700,50,0.000075,-10.765199,-0.736796,0.278022,0.070378,-0.783698,0.000000,0.278022,1.000000,0.017758,0.078717,1.000000,376.550085,346.282119,2.141799,2.434330,0.039042,0.013926
22750,50,0.000075,-11.072533,-0.740630,0.442048,0.070147,-0.787079,0.000000,0.442047,1.000000,0.016331,0.079465,1.000000,176.538465,324.923688,2.280023,2.451672,0.037920,0.013121
22800,50,0.000075,-10.938753,-0.731264,0.484043,0.071502,-0.780943,0.000000,0.484043,1.000000,0.017286,0.080001,1.000000,204.025270,306.168835,2.416967,2.442783,0.046430,0.012604
22850,50,0.000075,-10.580060,-0.737986,0.284728,0.070612,-0.786462,0.000000,0.284728,1.000000,0.016584,0.078872,1.000000,474.193795,289.507734,2.553185,2.447470,0.043901,0.012147
22900,51,0.000075,-11.151379,-0.727690,0.352674,0.072084,-0.778322,0.000000,0.352674,1.000000,0.018342,0.080151,1.000000,220.062595,273.647758,2.698116,2.412869,0.048632,0.013866
22950,51,0.000075,-10.997541,-0.728051,0.366605,0.071894,-0.779227,0.000000,0.366605,1.000000,0.017893,0.078819,1.000000,428.295836,260.382040,2.832377,2.407740,0.050764,0.012825
23000,51,0.000075,-10.909754,-0.730873,0.344778,0.071316,-0.780200,0.000000,0.344778,1.000000,0.017767,0.079582,1.000000,216.996678,248.367012,2.966041,2.410349,0.045565,0.012523
23050,51,0.000075,-10.929370,-0.744851,0.350772,0.069986,-0.790778,0.000000,0.350772,1.000000,0.017551,0.079631,1.000000,164.054911,236.273351,3.114331,2.465160,0.036447,0.012090
23100,51,0.000075,-10.869244,-0.742090,0.422215,0.069934,-0.787813,0.000000,0.422215,1.000000,0.018545,0.079173,1.000000,203.226641,226.453851,3.245694,2.461170,0.035853,0.012158
23150,51,0.000074,-10.703843,-0.732988,0.571129,0.070875,-0.782797,0.000000,0.571128,1.000000,0.017592,0.079971,1.000000,237.545020,217.424842,3.376646,2.451105,0.047905,0.011088
23200,51,0.000074,-11.075147,-0.735171,0.291352,0.070579,-0.782678,0.000000,0.291352,1.000000,0.017544,0.080134,1.000000,182.586692,209.146548,3.506313,2.411275,0.040721,0.012933
23250,51,0.000074,-11.218486,-0.741674,0.341480,0.070306,-0.788242,0.000000,0.341480,1.000000,0.016580,0.079244,1.000000,133.806620,201.496009,3.635308,2.380316,0.038049,0.012346
23300,51,0.000074,-10.904719,-0.729824,0.347778,0.071232,-0.777837,0.000000,0.347778,1.000000,0.016152,0.080074,1.000000,181.065401,194.418366,3.763362,2.435105,0.041322,0.011571
23350,52,0.000074,-10.659744,-0.728196,0.287414,0.072161,-0.778857,0.000000,0.287414,1.000000,0.016417,0.078903,1.000000,115.499686,187.278415,3.902390,2.386559,0.048601,0.011350
23400,52,0.000074,-11.083871,-0.735026,0.480672,0.071260,-0.784606,0.000000,0.480672,1.000000,0.017831,0.079474,1.000000,107.849170,181.199964,4.028698,2.396644,0.046498,0.012585
23450,52,0.000074,-11.212053,-0.730497,0.226188,0.070963,-0.778338,0.000000,0.226188,1.000000,0.016685,0.079817,1.000000,152.763084,175.529803,4.154090,2.387202,0.041199,0.013235
