step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
100,0,0.000015,-5.910941,-0.993382,0.699872,0.052983,-1.026398,0.594972,0.104899,0.831412,0.003472,0.044401,1.000000,138.777642,9.260093,72.713453,4.682324,0.021747,0.001810
200,0,0.000030,-5.971693,-1.127269,0.577076,0.052938,-1.160683,0.427104,0.149972,0.867726,0.005354,0.062491,1.000000,70.831143,11.059577,60.731675,3.858190,0.023151,0.002271
300,0,0.000045,-5.909281,-1.168536,0.480782,0.051737,-1.201299,0.317194,0.163588,0.897177,0.005756,0.063577,1.000000,159.511487,11.826363,56.653088,3.321637,0.022983,0.002923
400,0,0.000060,-6.386991,-1.164026,0.394016,0.052523,-1.197476,0.259411,0.134606,0.918941,0.006289,0.066224,1.000000,119.162992,12.262810,54.500831,3.357571,0.023958,0.004121
500,0,0.000075,-6.852820,-1.170237,0.310204,0.051889,-1.202868,0.219645,0.090559,0.936118,0.006431,0.066005,1.000000,89.684899,12.520636,53.245433,3.230008,0.022287,0.003848
600,0,0.000090,-6.877058,-1.183944,0.307699,0.051604,-1.216826,0.190158,0.117541,0.942549,0.006737,0.065271,1.000000,137.917408,12.699929,52.362496,3.269561,0.023599,0.004024
700,0,0.000105,-6.770472,-1.173500,0.278347,0.051977,-1.206534,0.179147,0.099200,0.943529,0.006614,0.065547,1.000000,56.105030,12.833371,51.688159,3.259156,0.023486,0.003951
800,0,0.000120,-6.743509,-1.181613,0.287643,0.052053,-1.215163,0.173394,0.114249,0.946235,0.006280,0.065815,1.000000,70.433710,12.925635,51.190263,3.231165,0.025079,0.003696
900,0,0.000135,-6.570335,-1.194053,0.307015,0.051310,-1.227485,0.169133,0.137883,0.947765,0.007594,0.066844,1.000000,61.808787,12.996123,50.784376,3.475802,0.025922,0.004274
1000,0,0.000150,-5.807437,-1.183541,0.292190,0.051657,-1.216884,0.171159,0.121032,0.944275,0.006458,0.067771,1.000000,84.866731,13.060032,50.408247,3.328742,0.025049,0.003963
1100,0,0.000165,-6.513933,-1.181374,0.258429,0.051735,-1.214339,0.164908,0.093521,0.948667,0.006550,0.066641,1.000000,193.688721,13.121292,50.045883,3.288044,0.023656,0.003645
1200,0,0.000180,-6.670793,-1.190045,0.251316,0.051533,-1.222776,0.163615,0.087701,0.948000,0.007240,0.066585,1.000000,47.485848,13.176378,49.710172,3.251301,0.023216,0.003876
